Adkins,Anderson,Aspinall,Burgess,Burke,Clarke,Clayton,Edwards,Ferguson,Goodlass,Hamilton,Heap,Heath,Higgins,Hilditch,Imlach,Kelly,Lee,Mathias,McMullen,Mungall,Palios,Philpotts,Platt,Powell,Rodaway,Sinclair,Williams G,Williams J,Woods
,11.0,,3.0,,9.0,10,2,,,,,7,,,,,12,,,,8,,1.0,,,5*,4.0,6,
,11.0,,3.0,,9.0,10,2,,,,,7,,,,,12,,,,8,,1.0,,,5*,4.0,6,
,11.0,,3.0,,9.0,10,2,,,,,,,,,,,,,,7,,1.0,,8,5,4.0,6,
,11.0,,3.0,,9.0,10,2,,,,,,,,,7,,,,,,,1.0,,8,5,4.0,6,
,11.0,,3.0,,9.0,10,2,,,,,,,,,7,,,,12.0,,,1.0,,8*,5,4.0,6,
,11.0,,3.0,,9.0,10,2,,,,,,,,,7*,,,,8.0,12,,1.0,,,5,4.0,6,
,11.0,8,3.0,,9.0,10,,,,,,,,,,7,,,,2.0,,,1.0,,5,,4.0,6,
,11.0,8,3.0,,9.0,10,,,,,,,,,,7,,,,2.0,,,1.0,,5,,4.0,6,
,11.0,8,,,9.0,10,3,,,,,14,6.0,,,,7+,,,2.0,12,,1.0,,5*,4,,,
,11.0,8,3.0,,9.0,10,6,,,,,12,,,,,,,,2.0,7*,,1.0,,5,,4.0,,
1.0,,8,2.0,,9.0,10,3,7,,5*,,11+,,,,,,,14,6.0,12,,,,,,4.0,,
1.0,11.0,8,3.0,,9.0,10,2,7*,,12,,,,,,,,,,5.0,,,,,,,4.0,6,
1.0,11.0,,3.0,,9.0,10,2,,,,,,,,,,,,,5.0,7,,,,8,,4.0,6,
1.0,11.0,8,3.0,,9.0,10,2,12,,,,,,,,,,,,5.0,7*,,,,,,4.0,6,
1.0,11.0,8*,3.0,,9.0,10,2,12,,,,,,5,,,4,,,,7,,,,,,,6,
1.0,11.0,8,3.0,,9.0,10,2,12,,,,,,5*,,,4,,,,7,,,,,,,6,
1.0,11.0,8,3.0,,9.0,10*,2,5,,,,,,,,,12,,,4.0,7,,,,,,,6,
1.0,11.0,8,3.0,,9.0,,2,5,,,,,,,,,12,,10*,4.0,7,,,,,,,6,
1.0,11.0,,,,9.0,,2,5,,,,,,,,,10,,,4.0,7,,,,,3,8.0,6,
1.0,11.0,,3.0,,9.0,,2,5*,,,,12,,,,,10+,,,4.0,7,,,,,14,8.0,6,
1.0,11.0,,3.0,,9.0,10,2,,,,,,,,,,,,,4.0,7,,,,,5,8.0,6,
1.0,11.0,,3.0,,9.0,10,2,12,,,,,,,,,,,,4.0,7*,,,,,5,8.0,6,
1.0,11.0,,3.0,,9.0,10,2,5,,,,,,,,,,,,4.0,7,,,,,,8.0,6,
1.0,11.0,12,3.0,,9.0,10,2,5*,,,,,,,,,,,,4.0,7,,,,,,8.0,6,
1.0,11.0,12,3.0,,9.0,10,2,,,,,,,,,,5*,,,4.0,7,,,,,,8.0,6,
1.0,11.0,5,3.0,,9.0,10,2,,,,,14,,,,,12,,,4.0,7+,,,,,,8.0,6*,
1.0,11.0,5,3.0,,9.0,10,2*,,,,12.0,,,,,,6,,,4.0,7,,,,,,8.0,,
1.0,11.0,5,3.0,,9.0,10,2,,,,12.0,,,,,,6,,,4.0,7*,,,,,,8.0,,
1.0,11.0,,3.0,,9.0,10,2*,5,,,,12,,,,,,,,4.0,7,,,,,,8.0,6,
1.0,11.0,8,3.0,,9.0,10,,5,,,,,,,,,,,,4.0,7,,,,,2,,6,
1.0,11.0,8,3.0,,,10,9,5*,,,12.0,,,,,,,,,4.0,7,,,,,2,,6,
1.0,11.0,8,3.0,,9.0,10,,5,,,,,,,,,,,,4.0,7,,,,12,2*,,6,
1.0,11.0,8,3.0,,9.0,10,2,5,,,,,,,,,,,,4.0,7,,,,,,,6,
1.0,11.0,8,3.0,,9.0,10,2,5*,,,,,,,,,,,,4.0,7,,,,12,,,6,
