game_date,home_team,away_team,game_url,outcome,score,competition,stadium,attendance,competition_2,score_2,match_notes
07 Feb 2023,Doncaster Rovers,Tranmere Rovers,https://www.11v11.com/matches/doncaster-rovers-v-tranmere-rovers-07-february-2023-378401/,L,2-0,League Two,Eco-Power Stadium,5775,League Two,2-0 to Doncaster Rovers,Kick-off: 7.45pm
11 Feb 2023,Tranmere Rovers,Salford City,https://www.11v11.com/matches/tranmere-rovers-v-salford-city-11-february-2023-378413/,W,1-0,League Two,Prenton Park,6516,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
14 Feb 2023,Bradford City,Tranmere Rovers,https://www.11v11.com/matches/bradford-city-v-tranmere-rovers-14-february-2023-378415/,L,2-0,League Two,University of Bradford Stadium,15482,League Two,2-0 to Bradford City,Kick-off: 7.45pm
18 Feb 2023,Tranmere Rovers,Mansfield Town,https://www.11v11.com/matches/tranmere-rovers-v-mansfield-town-18-february-2023-378437/,L,0-2,League Two,Prenton Park,6282,League Two,2-0 to Mansfield Town,Kick-off: 3.00pm
25 Feb 2023,Stevenage,Tranmere Rovers,https://www.11v11.com/matches/stevenage-v-tranmere-rovers-25-february-2023-378451/,W,0-1,League Two,Lamex Stadium,3675,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
28 Feb 2023,Tranmere Rovers,Crawley Town,https://www.11v11.com/matches/tranmere-rovers-v-crawley-town-28-february-2023-378458/,W,1-0,League Two,Prenton Park,5105,League Two,1-0 to Tranmere Rovers,Kick-off: 7.45pm
04 Mar 2023,Tranmere Rovers,Hartlepool United,https://www.11v11.com/matches/tranmere-rovers-v-hartlepool-united-04-march-2023-378677/,D,1-1,League Two,Prenton Park,6320,League Two,1-1,Kick-off: 3.00pm
11 Mar 2023,Gillingham,Tranmere Rovers,https://www.11v11.com/matches/gillingham-v-tranmere-rovers-11-march-2023-378689/,L,2-0,League Two,MEMS Priestfield Stadium,5674,League Two,2-0 to Gillingham,Kick-off: 3.00pm
18 Mar 2023,Tranmere Rovers,Newport County,https://www.11v11.com/matches/tranmere-rovers-v-newport-county-18-march-2023-378710/,L,1-3,League Two,Prenton Park,5496,League Two,3-1 to Newport County,Kick-off: 3.00pm
25 Mar 2023,Colchester United,Tranmere Rovers,https://www.11v11.com/matches/colchester-united-v-tranmere-rovers-25-march-2023-378717/,D,1-1,League Two,JobServe Community Stadium,3420,League Two,1-1,Kick-off: 3.00pm
31 Mar 2023,Tranmere Rovers,Harrogate Town,https://www.11v11.com/matches/tranmere-rovers-v-harrogate-town-31-march-2023-378731/,D,1-1,League Two,Prenton Park,5861,League Two,1-1,Kick-off: 7.45pm
07 Apr 2023,Carlisle United,Tranmere Rovers,https://www.11v11.com/matches/carlisle-united-v-tranmere-rovers-07-april-2023-379206/,L,2-0,League Two,Brunton Park,13410,League Two,2-0 to Carlisle United,Kick-off: 3.00pm
10 Apr 2023,Tranmere Rovers,Swindon Town,https://www.11v11.com/matches/tranmere-rovers-v-swindon-town-10-april-2023-379228/,W,1-0,League Two,Prenton Park,5654,League Two,1-0 to Tranmere Rovers,Kick-off: 3.00pm
15 Apr 2023,Crawley Town,Tranmere Rovers,https://www.11v11.com/matches/crawley-town-v-tranmere-rovers-15-april-2023-379231/,L,2-1,League Two,"Broadfield Stadium, Crawley",2812,League Two,2-1 to Crawley Town,Kick-off: 3.00pm
18 Apr 2023,Rochdale,Tranmere Rovers,https://www.11v11.com/matches/rochdale-v-tranmere-rovers-18-april-2023-379248/,D,2-2,League Two,Crown Oil Arena,2263,League Two,2-2,Kick-off: 7.45pm
22 Apr 2023,Tranmere Rovers,Grimsby Town,https://www.11v11.com/matches/tranmere-rovers-v-grimsby-town-22-april-2023-379263/,W,2-0,League Two,Prenton Park,5600,League Two,2-0 to Tranmere Rovers,Kick-off: 3.00pm
29 Apr 2023,AFC Wimbledon,Tranmere Rovers,https://www.11v11.com/matches/afc-wimbledon-v-tranmere-rovers-29-april-2023-379268/,D,1-1,League Two,"Cherry Red Records Stadium, Wimbledon",8106,League Two,1-1,Kick-off: 3.00pm
08 May 2023,Tranmere Rovers,Northampton Town,https://www.11v11.com/matches/tranmere-rovers-v-northampton-town-08-may-2023-379410/,L,0-1,League Two,Prenton Park,8225,League Two,1-0 to Northampton Town,Kick-off: 12.30pm
