surname,forename,player_name,ssn,season,disam_name
Barton,Teddy,Teddy Barton,1925,1925/26,Barton
Barton,Teddy,Teddy Barton,1926,1926/27,Barton
Barton,Teddy,Teddy Barton,1927,1927/28,Barton
Barton,Teddy,Teddy Barton,1928,1928/29,Barton
Barton,Teddy,Teddy Barton,1929,1929/30,Barton
Barton,Teddy,Teddy Barton,1930,1930/31,Barton
Barton,Teddy,Teddy Barton,1931,1931/32,Barton
Barton,Teddy,Teddy Barton,1932,1932/33,Barton
Barton,Teddy,Teddy Barton,1933,1933/34,Barton
Barton,Teddy,Teddy Barton,1934,1934/35,Barton
Bauress,Gary,Gary Bauress,1989,1989/90,Bauress
Bavin,John,John Bavin,1948,1948/49,Bavin
Beamish,Kenny,Kenny Beamish,1965,1965/66,Beamish
Beamish,Kenny,Kenny Beamish,1966,1966/67,Beamish
Beamish,Kenny,Kenny Beamish,1967,1967/68,Beamish
Beamish,Kenny,Kenny Beamish,1968,1968/69,Beamish
Beamish,Kenny,Kenny Beamish,1969,1969/70,Beamish
Beamish,Kenny,Kenny Beamish,1970,1970/71,Beamish
Beamish,Kenny,Kenny Beamish,1971,1971/72,Beamish
Beamish,Kenny,Kenny Beamish,1979,1979/80,Beamish
Beamish,Kenny,Kenny Beamish,1980,1980/81,Beamish
Bedford,Fred,Fred Bedford,1927,1927/28,Bedford
Bell,Bunny,Bunny Bell,1930,1930/31,Bell
Bell,Bunny,Bunny Bell,1931,1931/32,Bell
Bell,Bunny,Bunny Bell,1932,1932/33,Bell
Bell,Bunny,Bunny Bell,1933,1933/34,Bell
Bell,Bunny,Bunny Bell,1934,1934/35,Bell
Bell,Bunny,Bunny Bell,1935,1935/36,Bell
Bell,Graham,Graham Bell,1986,1986/87,Bell
Bell,Harold,Harold Bell,1945,1945/46,Bell
Bell,Harold,Harold Bell,1946,1946/47,Bell
Bell,Harold,Harold Bell,1947,1947/48,Bell
Bell,Harold,Harold Bell,1948,1948/49,Bell
Bell,Harold,Harold Bell,1949,1949/50,Bell
Bell,Harold,Harold Bell,1950,1950/51,Bell
Bell,Harold,Harold Bell,1951,1951/52,Bell
Bell,Harold,Harold Bell,1952,1952/53,Bell
Bell,Harold,Harold Bell,1953,1953/54,Bell
Bell,Harold,Harold Bell,1954,1954/55,Bell
Bell,Harold,Harold Bell,1955,1955/56,Bell
Bell,Harold,Harold Bell,1956,1956/57,Bell
Bell,Harold,Harold Bell,1957,1957/58,Bell
Bell,Harold,Harold Bell,1958,1958/59,Bell
Bell,Harold,Harold Bell,1959,1959/60,Bell
Bennett,Gary,Gary Bennett,1995,1995/96,Bennett
Best,John,John Best,1960,1960/61,Best
Beswick,Sammy,Sammy Beswick,1922,1922/23,Beswick
Beswick,Sammy,Sammy Beswick,1923,1923/24,Beswick
Beswick,Sammy,Sammy Beswick,1924,1924/25,Beswick
Beswick,Sammy,Sammy Beswick,1925,1925/26,Beswick
Beswick,Sammy,Sammy Beswick,1926,1926/27,Beswick
Beswick,Sammy,Sammy Beswick,1927,1927/28,Beswick
Beswick,Sammy,Sammy Beswick,1928,1928/29,Beswick
Bevan,Harry,Harry Bevan,1927,1927/28,Bevan
Billington,Stan,Stan Billington,1960,1960/61,Billington
Billington,Stan,Stan Billington,1961,1961/62,Billington
Billington,Stan,Stan Billington,1962,1962/63,Billington
Billington,Stan,Stan Billington,1963,1963/64,Billington
Birmingham,Charles,Charles Birmingham,1946,1946/47,Birmingham
Birtles,Danny,Danny Birtles,1924,1924/25,Birtles
Bishop,Eddie,Eddie Bishop,1987,1987/88,Bishop
Bishop,Eddie,Eddie Bishop,1988,1988/89,Bishop
Bishop,Eddie,Eddie Bishop,1989,1989/90,Bishop
Bishop,Eddie,Eddie Bishop,1990,1990/91,Bishop
Blundell,Alan,Alan Blundell,1965,1965/66,Blundell
Blundell,Alan,Alan Blundell,1966,1966/67,Blundell
Bonetti,Ivano,Ivano Bonetti,1996,1996/97,Bonetti
Bowen,William,William Bowen,1929,1929/30,Bowen
Bracewell,Ken,Ken Bracewell,1959,1959/60,Bracewell
Bracewell,Ken,Ken Bracewell,1960,1960/61,Bracewell
Bradshaw,George,George Bradshaw,1935,1935/36,Bradshaw
Bradshaw,Harry,Harry Bradshaw,1921,1921/22,Bradshaw
Bradshaw,Harry,Harry Bradshaw,1922,1922/23,Bradshaw
Bramhall,John,John Bramhall,1976,1976/77,Bramhall
Bramhall,John,John Bramhall,1977,1977/78,Bramhall
Bramhall,John,John Bramhall,1978,1978/79,Bramhall
Bramhall,John,John Bramhall,1979,1979/80,Bramhall
Bramhall,John,John Bramhall,1980,1980/81,Bramhall
Bramhall,John,John Bramhall,1981,1981/82,Bramhall
Branch,Graham,Graham Branch,1991,1991/92,Branch
Branch,Graham,Graham Branch,1992,1992/93,Branch
Branch,Graham,Graham Branch,1993,1993/94,Branch
Branch,Graham,Graham Branch,1994,1994/95,Branch
Branch,Graham,Graham Branch,1995,1995/96,Branch
Branch,Graham,Graham Branch,1996,1996/97,Branch
Brannan,Ged,Ged Brannan,1990,1990/91,Brannan
Brannan,Ged,Ged Brannan,1991,1991/92,Brannan
Brannan,Ged,Ged Brannan,1992,1992/93,Brannan
Brannan,Ged,Ged Brannan,1993,1993/94,Brannan
Brannan,Ged,Ged Brannan,1994,1994/95,Brannan
Brannan,Ged,Ged Brannan,1995,1995/96,Brannan
Brannan,Ged,Ged Brannan,1996,1996/97,Brannan
Brennan,Mike,Mike Brennan,1962,1962/63,Brennan
Bridges,Harold,Harold Bridges,1945,1945/46,Bridges
Bridges,Harold,Harold Bridges,1946,1946/47,Bridges
Bridges,Harold,Harold Bridges,1947,1947/48,Bridges
Briggs,Arthur,Arthur Briggs,1924,1924/25,Briggs
Briggs,Arthur,Arthur Briggs,1925,1925/26,Briggs
Briggs,Arthur,Arthur Briggs,1926,1926/27,Briggs
Briggs,Arthur,Arthur Briggs,1927,1927/28,Briggs
Briggs,Arthur,Arthur Briggs,1928,1928/29,Briggs
Briggs,Arthur,Arthur Briggs,1929,1929/30,Briggs
Briggs,Arthur,Arthur Briggs,1930,1930/31,Briggs
Briggs,Arthur,Arthur Briggs,1931,1931/32,Briggs
Brodie,Eric,Eric Brodie,1969,1969/70,Brodie
Brodie,Eric,Eric Brodie,1970,1970/71,Brodie
Brodie,Eric,Eric Brodie,1971,1971/72,Brodie
Brown,Andy,Andy Brown,1982,1982/83,Brown A
Brown,Dave,Dave Brown,1982,1982/83,Brown D
Brown,Jack,Jack Brown,1923,1923/24,Brown
Brown,Jack,Jack Brown,1924,1924/25,Brown
Brown,Jock,Jock Brown,1960,1960/61,Brown
Brown,Jock,Jock Brown,1961,1961/62,Brown
Brown,Owen,Owen Brown,1981,1981/82,Brown O
Brown,Owen,Owen Brown,1982,1982/83,Brown O
Brown,Owen,Owen Brown,1983,1983/84,Brown O
Brown,Samuel,Samuel Brown,1933,1933/34,Brown
Brown,Samuel,Samuel Brown,1934,1934/35,Brown
Buchan,Tom,Tom Buchan,1923,1923/24,Buchan
Buckley,Ted,Ted Buckley,1937,1937/38,Buckley
Buckley,Ted,Ted Buckley,1938,1938/39,Buckley
Bullock,Steve,Steve Bullock,1986,1986/87,Bullock
Bullough,Denis,Denis Bullough,1921,1921/22,Bullough
Burgess,David,David Burgess,1981,1981/82,Burgess
Burgess,David,David Burgess,1982,1982/83,Burgess
Burgess,David,David Burgess,1983,1983/84,Burgess
Burgess,David,David Burgess,1984,1984/85,Burgess
Burgess,David,David Burgess,1985,1985/86,Burgess
Burgin,Meynell,Meynell Burgin,1934,1934/35,Burgin
Burke,Marshall,Marshall Burke,1984,1984/85,Burke
Burns,Kinear,Kinear Burns,1946,1946/47,Burns
Burrows,Wilf,Wilf Burrows,1926,1926/27,Burrows
Burrows,Wilf,Wilf Burrows,1927,1927/28,Burrows
Burrows,Wilf,Wilf Burrows,1928,1928/29,Burrows
Burrows,Wilf,Wilf Burrows,1929,1929/30,Burrows
Burrows,Wilf,Wilf Burrows,1930,1930/31,Burrows
Butler,Charles,Charles Butler,1936,1936/37,Butler
Byrne,John,John Byrne,1961,1961/62,Byrne
Byrne,John,John Byrne,1968,1968/69,Byrne
Byrom,Tom,Tom Byrom,1946,1946/47,Byrom
Cahill,Paul,Paul Cahill,1978,1978/79,Cahill
Camden,Chris,Chris Camden,1986,1986/87,Camden
Campbell,Johnny,Johnny Campbell,1921,1921/22,Campbell
Campbell,Johnny,Johnny Campbell,1922,1922/23,Campbell
Campbell,Johnny,Johnny Campbell,1923,1923/24,Campbell
Campbell,Johnny,Johnny Campbell,1924,1924/25,Campbell
Campbell,Johnny,Johnny Campbell,1925,1925/26,Campbell
Campbell,Johnny,Johnny Campbell,1926,1926/27,Campbell
Campbell,Johnny,Johnny Campbell,1927,1927/28,Campbell
Campbell,Johnny,Johnny Campbell,1928,1928/29,Campbell
Campbell,Johnny,Johnny Campbell,1929,1929/30,Campbell
Campbell,Les,Les Campbell,1961,1961/62,Campbell L
Campbell,Les,Les Campbell,1962,1962/63,Campbell
Campbell,Les,Les Campbell,1963,1963/64,Campbell
Campbell,Tommy,Tommy Campbell,1961,1961/62,Campbell T
Carlson,George,George Carlson,1947,1947/48,Carlson
Carlson,George,George Carlson,1948,1948/49,Carlson
Carmody,Mike,Mike Carmody,1986,1986/87,Carmody
Carter,Joseph,Joseph Carter,1936,1936/37,Carter
Cartman,Bert,Bert Cartman,1923,1923/24,Cartman
Cartman,Bert,Bert Cartman,1924,1924/25,Cartman
Cartman,Bert,Bert Cartman,1925,1925/26,Cartman
Cartman,Bert,Bert Cartman,1926,1926/27,Cartman
Cartman,Bert,Bert Cartman,1927,1927/28,Cartman
Cartman,Bert,Bert Cartman,1928,1928/29,Cartman
Cartman,Bert,Bert Cartman,1929,1929/30,Cartman
Cartwright,William,William Cartwright,1946,1946/47,Cartwright
Cartwright,William,William Cartwright,1947,1947/48,Cartwright
Carvell,Arthur,Arthur Carvell,1932,1932/33,Carvell
Casey,Gerry,Gerry Casey,1967,1967/68,Casey
Casey,Gerry,Gerry Casey,1968,1968/69,Casey
Casey,Gerry,Gerry Casey,1969,1969/70,Casey
Cassidy,James,James Cassidy,1937,1937/38,Cassidy
Cassidy,James,James Cassidy,1938,1938/39,Cassidy
Chadwick,Harold,Harold Chadwick,1947,1947/48,Chadwick
Chadwick,Harold,Harold Chadwick,1948,1948/49,Chadwick
Challinor,Dave,Dave Challinor,1996,1996/97,Challinor
Chalmers,Billy,Billy Chalmers,1925,1925/26,Chalmers
Chamberlain,Alec,Alec Chamberlain,1987,1987/88,Chamberlain
Charlton,Billy,Billy Charlton,1925,1925/26,Charlton
Charlton,Billy,Billy Charlton,1926,1926/27,Charlton
Charlton,Billy,Billy Charlton,1927,1927/28,Charlton
Charlton,Billy,Billy Charlton,1928,1928/29,Charlton
Charlton,Billy,Billy Charlton,1929,1929/30,Charlton
Charlton,Wilf,Wilf Charlton,1957,1957/58,Charlton
Charlton,Wilf,Wilf Charlton,1958,1958/59,Charlton
Charlton,Wilf,Wilf Charlton,1959,1959/60,Charlton
Charlton,Wilf,Wilf Charlton,1960,1960/61,Charlton
Checkland,Frank,Frank Checkland,1923,1923/24,Checkland
Checkland,Frank,Frank Checkland,1924,1924/25,Checkland
Chiverton,Ted,Ted Chiverton,1932,1932/33,Chiverton
Chiverton,Ted,Ted Chiverton,1933,1933/34,Chiverton
Chiverton,Ted,Ted Chiverton,1934,1934/35,Chiverton
Clark,Archie,Archie Clark,1935,1935/36,Clark
Clark,Archie,Archie Clark,1936,1936/37,Clark
Clark,Archie,Archie Clark,1937,1937/38,Clark
Clark,Archie,Archie Clark,1938,1938/39,Clark
Clarke,Colin,Colin Clarke,1984,1984/85,Clarke
Clayton,Gordon,Gordon Clayton,1959,1959/60,Clayton
Clayton,Gordon,Gordon Clayton,1960,1960/61,Clayton
Clayton,John,John Clayton,1984,1984/85,Clayton
Clayton,John,John Clayton,1985,1985/86,Clayton
Cliff,Eddie,Eddie Cliff,1976,1976/77,Cliff
Cliff,Eddie,Eddie Cliff,1977,1977/78,Cliff
Cliff,Eddie,Eddie Cliff,1978,1978/79,Cliff
Clinton,Tommy,Tommy Clinton,1956,1956/57,Clinton
Coleman,Tony,Tony Coleman,1962,1962/63,Coleman
Coleman,Tony,Tony Coleman,1963,1963/64,Coleman
Collings,Paul,Paul Collings,1988,1988/89,Collings
Collings,Paul,Paul Collings,1989,1989/90,Collings
Collings,Paul,Paul Collings,1990,1990/91,Collings
Collings,Paul,Paul Collings,1991,1991/92,Collings
Conner,Bill,Bill Conner,1930,1930/31,Conner
Conner,Dick,Dick Conner,1961,1961/62,Conner
Connor,John,John Connor,1947,1947/48,Connor
Connor,John,John Connor,1948,1948/49,Connor
Conroy,Bobby,Bobby Conroy,1962,1962/63,Conroy
Conroy,Bobby,Bobby Conroy,1963,1963/64,Conroy
Conroy,Bobby,Bobby Conroy,1964,1964/65,Conroy
Cook,Fred,Fred Cook,1921,1921/22,Cook
Cook,Fred,Fred Cook,1922,1922/23,Cook
Cook,George,George Cook,1931,1931/32,Cook
Cook,Paul,Paul Cook,1995,1995/96,Cook
Cook,Paul,Paul Cook,1996,1996/97,Cook
Cooper,Steve,Steve Cooper,1990,1990/91,Cooper
Cooper,Steve,Steve Cooper,1991,1991/92,Cooper
Cooper,Steve,Steve Cooper,1992,1992/93,Cooper
Coppell,Steve,Steve Coppell,1973,1973/74,Coppell
Coppell,Steve,Steve Coppell,1974,1974/75,Coppell
Cox,Alan,Alan Cox,1946,1946/47,Cox
Cox,Alan,Alan Cox,1947,1947/48,Cox
Coyne,Danny,Danny Coyne,1992,1992/93,Coyne D
Coyne,Danny,Danny Coyne,1993,1993/94,Coyne D
Coyne,Danny,Danny Coyne,1994,1994/95,Coyne
Coyne,Danny,Danny Coyne,1995,1995/96,Coyne
Coyne,Danny,Danny Coyne,1996,1996/97,Coyne
Coyne,John,John Coyne,1971,1971/72,Coyne
Coyne,Tommy,Tommy Coyne,1992,1992/93,Coyne T
Craven,Steve,Steve Craven,1977,1977/78,Craven
Craven,Steve,Steve Craven,1978,1978/79,Craven
Craven,Steve,Steve Craven,1979,1979/80,Craven
Craven,Steve,Steve Craven,1980,1980/81,Craven
Craven,Steve,Steve Craven,1981,1981/82,Craven
Craven,Steve,Steve Craven,1987,1987/88,Craven
Crawford,Bruce,Bruce Crawford,1965,1965/66,Crawford
Crawford,Bruce,Bruce Crawford,1966,1966/67,Crawford
Crewe,Billy,Billy Crewe,1924,1924/25,Crewe
Crompton,Arthur,Arthur Crompton,1935,1935/36,Crompton
Cropper,Reg,Reg Cropper,1929,1929/30,Cropper
Crossan,Eddie,Eddie Crossan,1957,1957/58,Crossan
Crossley,Paul,Paul Crossley,1969,1969/70,Crossley
Crossley,Paul,Paul Crossley,1970,1970/71,Crossley
Crossley,Paul,Paul Crossley,1971,1971/72,Crossley
Crossley,Paul,Paul Crossley,1972,1972/73,Crossley
Crossley,Paul,Paul Crossley,1973,1973/74,Crossley
Crossley,Paul,Paul Crossley,1974,1974/75,Crossley
Crossley,Paul,Paul Crossley,1975,1975/76,Crossley
Crowther,George,George Crowther,1922,1922/23,Crowther
Crutchley,Vic,Vic Crutchley,1930,1930/31,Crutchley
Cumbes,Jim,Jim Cumbes,1966,1966/67,Cumbes
Cumbes,Jim,Jim Cumbes,1967,1967/68,Cumbes
Cumbes,Jim,Jim Cumbes,1968,1968/69,Cumbes
Cumbes,Jim,Jim Cumbes,1969,1969/70,Cumbes
Cunningham,Charlie,Charlie Cunningham,1921,1921/22,Cunningham
Curnow,Jack,Jack Curnow,1937,1937/38,Curnow
Curnow,Jack,Jack Curnow,1938,1938/39,Curnow
Curran,Frank,Frank Curran,1947,1947/48,Curran
Curtis,Charlie,Charlie Curtis,1934,1934/35,Curtis
Curtis,Charlie,Charlie Curtis,1935,1935/36,Curtis
D'Arcy,Frank,Frank D'Arcy,1972,1972/73,D'Arcy
Dale,Dickie,Dickie Dale,1931,1931/32,Dale
Dalton,Tim,Tim Dalton,1986,1986/87,Dalton
Davies,Dai,Dai Davies,1983,1983/84,Davies
Davies,Ernie,Ernie Davies,1936,1936/37,Davies
Davies,Ernie,Ernie Davies,1937,1937/38,Davies
Davies,Ernie,Ernie Davies,1938,1938/39,Davies
Davies,Keith,Keith Davies,1953,1953/54,Davies K
Davies,Ray,Ray Davies,1951,1951/52,Davies
Davies,Ray,Ray Davies,1952,1952/53,Davies
Davies,Ray,Ray Davies,1953,1953/54,Davies R
Davies,Ray,Ray Davies,1954,1954/55,Davies
Davies,Ray,Ray Davies,1955,1955/56,Davies
Davies,Ray,Ray Davies,1956,1956/57,Davies
Davies,Ray,Ray Davies,1957,1957/58,Davies
Davis,Samuel,Samuel Davis,1925,1925/26,Davis
Davis,Thomas,Thomas Davis,1937,1937/38,Davis
Dawson,Frank,Frank Dawson,1933,1933/34,Dawson
Dawson,Frank,Frank Dawson,1934,1934/35,Dawson
Dawson,Frank,Frank Dawson,1935,1935/36,Dawson
Day,Alf,Alf Day,1938,1938/39,Day
Dean,Dixie,Dixie Dean,1923,1923/24,Dean
Dean,Dixie,Dixie Dean,1924,1924/25,Dean
Dellow,Ronnie,Ronnie Dellow,1935,1935/36,Dellow
Dellow,Ronnie,Ronnie Dellow,1936,1936/37,Dellow
Dellow,Ronnie,Ronnie Dellow,1937,1937/38,Dellow
Dellow,Ronnie,Ronnie Dellow,1938,1938/39,Dellow
Demaine,Dave,Dave Demaine,1961,1961/62,Demaine
Dempsey,John,John Dempsey,1967,1967/68,Dempsey
Dempsey,John,John Dempsey,1968,1968/69,Dempsey
Dempsey,John,John Dempsey,1969,1969/70,Dempsey
Dempsey,John,John Dempsey,1970,1970/71,Dempsey
Dempsey,John,John Dempsey,1971,1971/72,Dempsey
Dillon,Vince,Vince Dillon,1950,1950/51,Dillon
Dillon,Vince,Vince Dillon,1951,1951/52,Dillon
Dillon,Vince,Vince Dillon,1952,1952/53,Dillon
Dixon,Ernie,Ernie Dixon,1930,1930/31,Dixon
Dixon,Ernie,Ernie Dixon,1931,1931/32,Dixon
Dixon,Ernie,Ernie Dixon,1932,1932/33,Dixon
Docking,Stan,Stan Docking,1938,1938/39,Docking
Dodd,Ernie,Ernie Dodd,1933,1933/34,Dodd
Dodd,Ernie,Ernie Dodd,1934,1934/35,Dodd
Dodd,Ernie,Ernie Dodd,1935,1935/36,Dodd
Dodd,Ernie,Ernie Dodd,1936,1936/37,Dodd
Dodd,Jim,Jim Dodd,1956,1956/57,Dodd
Dodd,Jim,Jim Dodd,1957,1957/58,Dodd
Dodd,Jim,Jim Dodd,1958,1958/59,Dodd
Dodd,Jim,Jim Dodd,1959,1959/60,Dodd
Done,Cyril,Cyril Done,1952,1952/53,Done
Done,Cyril,Cyril Done,1953,1953/54,Done
Done,Cyril,Cyril Done,1954,1954/55,Done
Doonan,Tom,Tom Doonan,1950,1950/51,Doonan
Duff,Stanley,Stanley Duff,1937,1937/38,Duff
Duffy,Alan,Alan Duffy,1971,1971/72,Duffy
Duffy,Alan,Alan Duffy,1972,1972/73,Duffy
Dyson,Barry,Barry Dyson,1962,1962/63,Dyson
Dyson,Barry,Barry Dyson,1963,1963/64,Dyson
Dyson,Barry,Barry Dyson,1964,1964/65,Dyson
Dyson,Barry,Barry Dyson,1965,1965/66,Dyson
Dyson,Barry,Barry Dyson,1966,1966/67,Dyson
Eastham,Harry,Harry Eastham,1948,1948/49,Eastham
Eastham,Harry,Harry Eastham,1949,1949/50,Eastham
Eastham,Harry,Harry Eastham,1950,1950/51,Eastham
Eastham,Harry,Harry Eastham,1951,1951/52,Eastham
Eastham,Harry,Harry Eastham,1952,1952/53,Eastham
Eaton,Steve,Steve Eaton,1978,1978/79,Eaton
Eden,Billy,Billy Eden,1934,1934/35,Eden
Eden,Billy,Billy Eden,1935,1935/36,Eden
Eden,Billy,Billy Eden,1936,1936/37,Eden
Eden,Billy,Billy Eden,1937,1937/38,Eden
Eden,Billy,Billy Eden,1938,1938/39,Eden
Edwards,Elfyn,Elfyn Edwards,1979,1979/80,Edwards
Edwards,Elfyn,Elfyn Edwards,1980,1980/81,Edwards
Edwards,Malcolm,Malcolm Edwards,1962,1962/63,Edwards
Edwards,Malcolm,Malcolm Edwards,1963,1963/64,Edwards
Edwards,Mike,Mike Edwards,1994,1994/95,Edwards
Edwards,Steve,Steve Edwards,1984,1984/85,Edwards
Edwards,Steve,Steve Edwards,1985,1985/86,Edwards
Edwards,Steve,Steve Edwards,1986,1986/87,Edwards
Edwards,William,William Edwards,1936,1936/37,Edwards
Eglington,Tommy,Tommy Eglington,1957,1957/58,Eglington
Eglington,Tommy,Tommy Eglington,1958,1958/59,Eglington
Eglington,Tommy,Tommy Eglington,1959,1959/60,Eglington
Eglington,Tommy,Tommy Eglington,1960,1960/61,Eglington
Ellison,Norman,Norman Ellison,1949,1949/50,Ellison
Ellison,Norman,Norman Ellison,1950,1950/51,Ellison
Endersby,Scott,Scott Endersby,1981,1981/82,Endersby
Endersby,Scott,Scott Endersby,1982,1982/83,Endersby
Evans,Bernard,Bernard Evans,1963,1963/64,Evans
Evans,Clive,Clive Evans,1976,1976/77,Evans
Evans,Clive,Clive Evans,1977,1977/78,Evans
Evans,Clive,Clive Evans,1978,1978/79,Evans
Evans,Clive,Clive Evans,1979,1979/80,Evans
Evans,Clive,Clive Evans,1980,1980/81,Evans
Evans,Dennis,Dennis Evans,1958,1958/59,Evans
Evans,Dennis,Dennis Evans,1959,1959/60,Evans
Evans,Herbie,Herbie Evans,1926,1926/27,Evans
Evans,Herbie,Herbie Evans,1927,1927/28,Evans
Evans,Jabez,Jabez Evans,1922,1922/23,Evans
Evans,Jabez,Jabez Evans,1923,1923/24,Evans
Evans,Jabez,Jabez Evans,1924,1924/25,Evans J
Fagan,Kit,Kit Fagan,1971,1971/72,Fagan
Fagan,Kit,Kit Fagan,1972,1972/73,Fagan
Fagan,Kit,Kit Fagan,1973,1973/74,Fagan
Fagan,Kit,Kit Fagan,1974,1974/75,Fagan
Fairclough,David,David Fairclough,1989,1989/90,Fairclough
Fairclough,Peter,Peter Fairclough,1921,1921/22,Fairclough
Fairhurst,Dick,Dick Fairhurst,1935,1935/36,Fairhurst
Fairhurst,Dick,Dick Fairhurst,1936,1936/37,Fairhurst
Farnworth,Simon,Simon Farnworth,1986,1986/87,Farnworth
Farrell,Peter,Peter Farrell,1957,1957/58,Farrell
Farrell,Peter,Peter Farrell,1958,1958/59,Farrell
Farrell,Peter,Peter Farrell,1959,1959/60,Farrell
Farrimond,Syd,Syd Farrimond,1970,1970/71,Farrimond
Farrimond,Syd,Syd Farrimond,1971,1971/72,Farrimond
Farrimond,Syd,Syd Farrimond,1972,1972/73,Farrimond
