season,game_no,player_name,shirt_no,role,on_for,off_for
1921/22,12,Hayes C,2,starter,,
1921/22,12,Stuart,3,starter,,
1921/22,12,Campbell,4,starter,,
1921/22,12,Mercer,5,starter,,
1921/22,12,Roberts,6,starter,,
1921/22,12,Cook,7,starter,,
1921/22,12,Groves,8,starter,,
1921/22,12,Bullough,9,starter,,
1921/22,12,Cunningham,10,starter,,
1921/22,12,Prentice,11,starter,,
1921/22,13,Bradshaw,1,starter,,
1921/22,13,Hayes C,2,starter,,
1921/22,13,Stuart,3,starter,,
1921/22,13,Campbell,4,starter,,
1921/22,13,Mercer,5,starter,,
1921/22,13,Roberts,6,starter,,
1921/22,13,Moreton,7,starter,,
1921/22,13,Cook,8,starter,,
1921/22,13,Bullough,9,starter,,
1921/22,13,Cunningham,10,starter,,
1921/22,13,Prentice,11,starter,,
1921/22,14,Bradshaw,1,starter,,
1921/22,14,Hayes C,2,starter,,
1921/22,14,Stuart,3,starter,,
1921/22,14,Campbell,4,starter,,
1921/22,14,Mercer,5,starter,,
1921/22,14,Roberts,6,starter,,
1921/22,14,Moreton,7,starter,,
1921/22,14,Cook,8,starter,,
1921/22,14,Bullough,9,starter,,
1921/22,14,Cunningham,10,starter,,
1921/22,14,Prentice,11,starter,,
1921/22,15,Bradshaw,1,starter,,
1921/22,15,Hayes C,2,starter,,
1921/22,15,Stuart,3,starter,,
1921/22,15,Campbell,4,starter,,
1921/22,15,Milnes,5,starter,,
1921/22,15,Roberts,6,starter,,
1921/22,15,Cook,7,starter,,
1921/22,15,Hilton,8,starter,,
1921/22,15,Bullough,9,starter,,
1921/22,15,Cunningham,10,starter,,
1921/22,15,Prentice,11,starter,,
1921/22,16,Bradshaw,1,starter,,
1921/22,16,Hayes C,2,starter,,
1921/22,16,Stuart,3,starter,,
1921/22,16,Campbell,4,starter,,
1921/22,16,Mercer,5,starter,,
1921/22,16,Roberts,6,starter,,
1921/22,16,Cook,7,starter,,
1921/22,16,Hilton,8,starter,,
1921/22,16,Bullough,9,starter,,
1921/22,16,Cunningham,10,starter,,
1921/22,16,Prentice,11,starter,,
1921/22,17,Bradshaw,1,starter,,
1921/22,17,Hayes C,2,starter,,
1921/22,17,Stuart,3,starter,,
1921/22,17,Campbell,4,starter,,
1921/22,17,Mercer,5,starter,,
1921/22,17,Roberts,6,starter,,
1921/22,17,Cook,7,starter,,
1921/22,17,Moreton,8,starter,,
1921/22,17,Bullough,9,starter,,
1921/22,17,Cunningham,10,starter,,
1921/22,17,Prentice,11,starter,,
1921/22,18,Bradshaw,1,starter,,
1921/22,18,Hayes C,2,starter,,
1921/22,18,Stuart,3,starter,,
1921/22,18,Campbell,4,starter,,
1921/22,18,Mercer,5,starter,,
1921/22,18,Roberts,6,starter,,
1921/22,18,Cook,7,starter,,
1921/22,18,Hilton,8,starter,,
1921/22,18,Lloyd,9,starter,,
1921/22,18,Cunningham,10,starter,,
1921/22,18,Prentice,11,starter,,
1921/22,19,Bradshaw,1,starter,,
1921/22,19,Hayes C,2,starter,,
1921/22,19,Stuart,3,starter,,
1921/22,19,Campbell,4,starter,,
1921/22,19,Mercer,5,starter,,
1921/22,19,Roberts,6,starter,,
1921/22,19,Cook,7,starter,,
1921/22,19,Hilton,8,starter,,
1921/22,19,Prentice,9,starter,,
1921/22,19,Cunningham,10,starter,,
1921/22,19,Moorhouse,11,starter,,
1921/22,20,Bradshaw,1,starter,,
1921/22,20,Sugden,2,starter,,
1921/22,20,Stuart,3,starter,,
1921/22,20,Campbell,4,starter,,
1921/22,20,Mercer,5,starter,,
1921/22,20,Roberts,6,starter,,
1921/22,20,Cook,7,starter,,
1921/22,20,Hilton,8,starter,,
1921/22,20,Lloyd,9,starter,,
1921/22,20,Cunningham,10,starter,,
1921/22,20,Prentice,11,starter,,
1921/22,21,Bradshaw,1,starter,,
1921/22,21,Sugden,2,starter,,
1921/22,21,Stuart,3,starter,,
1921/22,21,Campbell,4,starter,,
1921/22,21,Rainford,5,starter,,
1921/22,21,Roberts,6,starter,,
1921/22,21,Moreton,7,starter,,
1921/22,21,Cook,8,starter,,
1921/22,21,Lloyd,9,starter,,
1921/22,21,Hilton,10,starter,,
1921/22,21,Prentice,11,starter,,
1921/22,22,Bradshaw,1,starter,,
1921/22,22,Sugden,2,starter,,
1921/22,22,Stuart,3,starter,,
1921/22,22,Cunningham,4,starter,,
1921/22,22,Campbell,5,starter,,
1921/22,22,Rainford,6,starter,,
1921/22,22,Moreton,7,starter,,
1921/22,22,Cook,8,starter,,
1921/22,22,Ford,9,starter,,
1921/22,22,Hilton,10,starter,,
1921/22,22,Prentice,11,starter,,
1921/22,23,Bradshaw,1,starter,,
1921/22,23,Forshaw,2,starter,,
1921/22,23,Stuart,3,starter,,
1921/22,23,Cunningham,4,starter,,
1921/22,23,Mercer,5,starter,,
1921/22,23,Roberts,6,starter,,
1921/22,23,Moreton,7,starter,,
1921/22,23,Cook,8,starter,,
1921/22,23,Ford,9,starter,,
1921/22,23,Hilton,10,starter,,
1921/22,23,Prentice,11,starter,,
1921/22,24,Bradshaw,1,starter,,
1921/22,24,Hayes C,2,starter,,
1921/22,24,Niven,3,starter,,
1921/22,24,Cunningham,4,starter,,
1921/22,24,Winn,5,starter,,
1921/22,24,Roberts,6,starter,,
1921/22,24,Moreton,7,starter,,
1921/22,24,Hilton,8,starter,,
1921/22,24,Baldwin,9,starter,,
1921/22,24,Ford,10,starter,,
1921/22,24,Moorhouse,11,starter,,
1921/22,25,Bradshaw,1,starter,,
1921/22,25,Stuart,2,starter,,
1921/22,25,Niven,3,starter,,
1921/22,25,Cunningham,4,starter,,
1921/22,25,Campbell,5,starter,,
1921/22,25,Fairclough,6,starter,,
1921/22,25,Moreton,7,starter,,
1921/22,25,Hilton,8,starter,,
1921/22,25,Fulton,9,starter,,
1921/22,25,Prentice,10,starter,,
1921/22,25,Roberts,11,starter,,
1921/22,26,Bradshaw,1,starter,,
1921/22,26,Stuart,2,starter,,
1921/22,26,Niven,3,starter,,
1921/22,26,Cunningham,4,starter,,
1921/22,26,Campbell,5,starter,,
1921/22,26,Fairclough,6,starter,,
1921/22,26,Moreton,7,starter,,
1921/22,26,Hilton,8,starter,,
1921/22,26,Fulton,9,starter,,
1921/22,26,Prentice,10,starter,,
1921/22,26,Roberts,11,starter,,
1921/22,27,Bradshaw,1,starter,,
1921/22,27,Stuart,2,starter,,
1921/22,27,Niven,3,starter,,
1921/22,27,Rainford,4,starter,,
1921/22,27,Mercer,5,starter,,
1921/22,27,Fairclough,6,starter,,
1921/22,27,Moreton,7,starter,,
1921/22,27,Hilton,8,starter,,
1921/22,27,Fulton,9,starter,,
1921/22,27,Cunningham,10,starter,,
1921/22,27,Roberts,11,starter,,
1921/22,28,Bradshaw,1,starter,,
1921/22,28,Stuart,2,starter,,
1921/22,28,Niven,3,starter,,
1921/22,28,Cunningham,4,starter,,
1921/22,28,Mercer,5,starter,,
1921/22,28,Fairclough,6,starter,,
1921/22,28,Moreton,7,starter,,
1921/22,28,Ford,8,starter,,
1921/22,28,Fulton,9,starter,,
1921/22,28,Rainford,10,starter,,
1921/22,28,Roberts,11,starter,,
1921/22,29,Bradshaw,1,starter,,
1921/22,29,Stuart,2,starter,,
1921/22,29,Niven,3,starter,,
1921/22,29,Cunningham,4,starter,,
1921/22,29,Mercer,5,starter,,
1921/22,29,Fairclough,6,starter,,
1921/22,29,Moreton,7,starter,,
1921/22,29,Ford,8,starter,,
1921/22,29,Fulton,9,starter,,
1921/22,29,Rainford,10,starter,,
1921/22,29,Roberts,11,starter,,
1921/22,30,Bradshaw,1,starter,,
1921/22,30,Stuart,2,starter,,
1921/22,30,Niven,3,starter,,
1921/22,30,Cunningham,4,starter,,
1921/22,30,Milnes,5,starter,,
1921/22,30,Fairclough,6,starter,,
1921/22,30,Moreton,7,starter,,
1921/22,30,Ford,8,starter,,
1921/22,30,Fulton,9,starter,,
1921/22,30,Rainford,10,starter,,
1921/22,30,Roberts,11,starter,,
1921/22,31,Bradshaw,1,starter,,
1921/22,31,Stuart,2,starter,,
1921/22,31,Niven,3,starter,,
1921/22,31,Cunningham,4,starter,,
1921/22,31,Milnes,5,starter,,
1921/22,31,Roberts,6,starter,,
1921/22,31,Moreton,7,starter,,
1921/22,31,Ford,8,starter,,
1921/22,31,Fulton,9,starter,,
1921/22,31,Rainford,10,starter,,
1921/22,31,Prentice,11,starter,,
1921/22,32,Bradshaw,1,starter,,
1921/22,32,Stuart,2,starter,,
1921/22,32,Niven,3,starter,,
1921/22,32,Cunningham,4,starter,,
1921/22,32,Milnes,5,starter,,
1921/22,32,Heslop,6,starter,,
1921/22,32,Moreton,7,starter,,
1921/22,32,Ford,8,starter,,
1921/22,32,Fulton,9,starter,,
1921/22,32,Rainford,10,starter,,
1921/22,32,Roberts,11,starter,,
1921/22,33,Bradshaw,1,starter,,
1921/22,33,Stuart,2,starter,,
1921/22,33,Niven,3,starter,,
1921/22,33,Ford,4,starter,,
1921/22,33,Milnes,5,starter,,
1921/22,33,Heslop,6,starter,,
1921/22,33,Cook,7,starter,,
1921/22,33,Hilton,8,starter,,
1921/22,33,Lloyd,9,starter,,
1921/22,33,Cunningham,10,starter,,
1921/22,33,Roberts,11,starter,,
1921/22,34,Bradshaw,1,starter,,
1921/22,34,Stuart,2,starter,,
1921/22,34,Niven,3,starter,,
1921/22,34,Ford,4,starter,,
1921/22,34,Milnes,5,starter,,
1921/22,34,Cunningham,6,starter,,
1921/22,34,Moreton,7,starter,,
1921/22,34,Hilton,8,starter,,
1921/22,34,Lloyd,9,starter,,
1921/22,34,Rainford,10,starter,,
1921/22,34,Roberts,11,starter,,
1921/22,35,Bradshaw,1,starter,,
1921/22,35,Stuart,2,starter,,
1921/22,35,Niven,3,starter,,
1921/22,35,Ford,4,starter,,
1921/22,35,Milnes,5,starter,,
1921/22,35,Cunningham,6,starter,,
1921/22,35,Moreton,7,starter,,
1921/22,35,Hilton,8,starter,,
1921/22,35,Lloyd,9,starter,,
1921/22,35,Rainford,10,starter,,
1921/22,35,Roberts,11,starter,,
1921/22,36,Bradshaw,1,starter,,
1921/22,36,Stuart,2,starter,,
1921/22,36,Niven,3,starter,,
1921/22,36,Ford,4,starter,,
1921/22,36,Milnes,5,starter,,
1921/22,36,Cunningham,6,starter,,
1921/22,36,Moreton,7,starter,,
1921/22,36,Hilton,8,starter,,
1921/22,36,Lloyd,9,starter,,
1921/22,36,Rainford,10,starter,,
1921/22,36,Roberts,11,starter,,
1921/22,37,Bradshaw,1,starter,,
1921/22,37,Stuart,2,starter,,
1921/22,37,Niven,3,starter,,
1921/22,37,Campbell,4,starter,,
1921/22,37,Milnes,5,starter,,
1921/22,37,Cunningham,6,starter,,
1921/22,37,Moreton,7,starter,,
1921/22,37,Ford,8,starter,,
1921/22,37,Lloyd,9,starter,,
1921/22,37,Rainford,10,starter,,
1921/22,37,Roberts,11,starter,,
1921/22,38,Bradshaw,1,starter,,
1921/22,38,Stuart,2,starter,,
1921/22,38,Niven,3,starter,,
1921/22,38,Campbell,4,starter,,
1921/22,38,Milnes,5,starter,,
1921/22,38,Cunningham,6,starter,,
1921/22,38,Moreton,7,starter,,
1921/22,38,Hilton,8,starter,,
1921/22,38,Lloyd,9,starter,,
1921/22,38,Rainford,10,starter,,
1921/22,38,Roberts,11,starter,,
1921/22,39,Bradshaw,1,starter,,
1921/22,39,Stuart,2,starter,,
1921/22,39,Niven,3,starter,,
1921/22,39,Campbell,4,starter,,
1921/22,39,Milnes,5,starter,,
1921/22,39,Cunningham,6,starter,,
1921/22,39,Moreton,7,starter,,
1921/22,39,Hilton,8,starter,,
1921/22,39,Lloyd,9,starter,,
1921/22,39,Rainford,10,starter,,
1921/22,39,Roberts,11,starter,,
1921/22,40,Bradshaw,1,starter,,
1921/22,40,Stuart,2,starter,,
1921/22,40,Niven,3,starter,,
1921/22,40,Campbell,4,starter,,
1921/22,40,Milnes,5,starter,,
1921/22,40,Cunningham,6,starter,,
1921/22,40,Moreton,7,starter,,
1921/22,40,Robinson A,8,starter,,
1921/22,40,Lloyd,9,starter,,
1921/22,40,Rainford,10,starter,,
1921/22,40,Roberts,11,starter,,
1922/23,1,Bradshaw,1,starter,,
1922/23,1,Thompson,2,starter,,
1922/23,1,Stuart,3,starter,,
1922/23,1,Campbell,4,starter,,
1922/23,1,Phillips,5,starter,,
1922/23,1,Sewell,6,starter,,
1922/23,1,Moreton,7,starter,,
1922/23,1,Sharkey,8,starter,,
1922/23,1,Ratcliffe,9,starter,,
1922/23,1,Hawarden,10,starter,,
1922/23,1,Evans,11,starter,,
1922/23,2,Bradshaw,1,starter,,
1922/23,2,Thompson,2,starter,,
1922/23,2,Stuart,3,starter,,
1922/23,2,Campbell,4,starter,,
1922/23,2,Phillips,5,starter,,
1922/23,2,Sewell,6,starter,,
1922/23,2,Moreton,7,starter,,
1922/23,2,Sharkey,8,starter,,
1922/23,2,Kimberley,9,starter,,
1922/23,2,Hilton,10,starter,,
1922/23,2,Evans,11,starter,,
1922/23,3,Bradshaw,1,starter,,
1922/23,3,Thompson,2,starter,,
1922/23,3,Stuart,3,starter,,
1922/23,3,Campbell,4,starter,,
1922/23,3,Phillips,5,starter,,
1922/23,3,Sewell,6,starter,,
1922/23,3,Moreton,7,starter,,
1922/23,3,Sharkey,8,starter,,
1922/23,3,Kimberley,9,starter,,
1922/23,3,Hilton,10,starter,,
1922/23,3,Evans,11,starter,,
1922/23,4,Bradshaw,1,starter,,
1922/23,4,Thompson,2,starter,,
1922/23,4,Stuart,3,starter,,
1922/23,4,Campbell,4,starter,,
1922/23,4,Phillips,5,starter,,
1922/23,4,Sewell,6,starter,,
1922/23,4,Moreton,7,starter,,
1922/23,4,Sharkey,8,starter,,
1922/23,4,Rainford,9,starter,,
1922/23,4,Hilton,10,starter,,
1922/23,4,Evans,11,starter,,
1922/23,5,Bradshaw,1,starter,,
1922/23,5,Thompson,2,starter,,
1922/23,5,Stuart,3,starter,,
1922/23,5,Campbell,4,starter,,
1922/23,5,Phillips,5,starter,,
1922/23,5,Sewell,6,starter,,
1922/23,5,Moreton,7,starter,,
1922/23,5,Sharkey,8,starter,,
1922/23,5,Rainford,9,starter,,
1922/23,5,Hilton,10,starter,,
1922/23,5,Evans,11,starter,,
1922/23,6,Bradshaw,1,starter,,
1922/23,6,Thompson,2,starter,,
1922/23,6,Stuart,3,starter,,
1922/23,6,Campbell,4,starter,,
1922/23,6,Phillips,5,starter,,
1922/23,6,Sewell,6,starter,,
1922/23,6,Cook,7,starter,,
1922/23,6,Sharkey,8,starter,,
1922/23,6,Rainford,9,starter,,
1922/23,6,Hilton,10,starter,,
1922/23,6,Evans,11,starter,,
1922/23,7,Bradshaw,1,starter,,
1922/23,7,Thompson,2,starter,,
1922/23,7,Stuart,3,starter,,
1922/23,7,Campbell,4,starter,,
1922/23,7,Phillips,5,starter,,
1922/23,7,Sewell,6,starter,,
1922/23,7,Moreton,7,starter,,
1922/23,7,Sharkey,8,starter,,
1922/23,7,Rainford,9,starter,,
1922/23,7,Hilton,10,starter,,
1922/23,7,Evans,11,starter,,
1922/23,8,Bradshaw,1,starter,,
1922/23,8,Thompson,2,starter,,
1922/23,8,Stuart,3,starter,,
1922/23,8,Campbell,4,starter,,
1922/23,8,Phillips,5,starter,,
1922/23,8,Sewell,6,starter,,
1922/23,8,Moreton,7,starter,,
1922/23,8,Sharkey,8,starter,,
1922/23,8,Rainford,9,starter,,
1922/23,8,Hilton,10,starter,,
1922/23,8,Evans,11,starter,,
1922/23,9,Bradshaw,1,starter,,
1922/23,9,Sugden,2,starter,,
1922/23,9,Stuart,3,starter,,
1922/23,9,Campbell,4,starter,,
1922/23,9,Phillips,5,starter,,
1922/23,9,Sewell,6,starter,,
1922/23,9,Moreton,7,starter,,
1922/23,9,Sharkey,8,starter,,
1922/23,9,Rainford,9,starter,,
1922/23,9,Hayes F,10,starter,,
1922/23,9,Evans,11,starter,,
1922/23,10,Gill,1,starter,,
1922/23,10,Thompson,2,starter,,
1922/23,10,Stuart,3,starter,,
1922/23,10,Campbell,4,starter,,
1922/23,10,Phillips,5,starter,,
1922/23,10,Sewell,6,starter,,
1922/23,10,Moreton,7,starter,,
1922/23,10,Sharkey,8,starter,,
1922/23,10,Hayes F,9,starter,,
1922/23,10,Hilton,10,starter,,
1922/23,10,Evans,11,starter,,
1922/23,11,Gill,1,starter,,
1922/23,11,Thompson,2,starter,,
1922/23,11,Stuart,3,starter,,
1922/23,11,Campbell,4,starter,,
1922/23,11,Phillips,5,starter,,
1922/23,11,Sewell,6,starter,,
1922/23,11,Moreton,7,starter,,
1922/23,11,Hilton,8,starter,,
1922/23,11,Sharkey,9,starter,,
1922/23,11,Hayes F,10,starter,,
1922/23,11,Evans,11,starter,,
1922/23,12,Gill,1,starter,,
1922/23,12,Thompson,2,starter,,
1922/23,12,Stuart,3,starter,,
1922/23,12,Campbell,4,starter,,
1922/23,12,Sewell,5,starter,,
1922/23,12,Hayes F,6,starter,,
1922/23,12,Moreton,7,starter,,
1922/23,12,Hilton,8,starter,,
1922/23,12,Sharkey,9,starter,,
1922/23,12,Robinson J,10,starter,,
1922/23,12,Evans,11,starter,,
1922/23,13,Gill,1,starter,,
1922/23,13,Thompson,2,starter,,
1922/23,13,Stuart,3,starter,,
1922/23,13,Campbell,4,starter,,
1922/23,13,Phillips,5,starter,,
1922/23,13,Sewell,6,starter,,
1922/23,13,Moreton,7,starter,,
1922/23,13,Rainford,8,starter,,
1922/23,13,Sharkey,9,starter,,
1922/23,13,Robinson J,10,starter,,
1922/23,13,Evans,11,starter,,
1922/23,14,Gill,1,starter,,
1922/23,14,Thompson,2,starter,,
1922/23,14,Stuart,3,starter,,
1922/23,14,Campbell,4,starter,,
1922/23,14,Leary,5,starter,,
1922/23,14,Sewell,6,starter,,
1922/23,14,Moreton,7,starter,,
1922/23,14,Sharkey,8,starter,,
1922/23,14,Robinson J,9,starter,,
1922/23,14,Hilton,10,starter,,
1922/23,14,Evans,11,starter,,
1922/23,15,Gill,1,starter,,
1922/23,15,Thompson,2,starter,,
1922/23,15,Stuart,3,starter,,
1922/23,15,Campbell,4,starter,,
1922/23,15,Sewell,5,starter,,
1922/23,15,Hawarden,6,starter,,
1922/23,15,Moreton,7,starter,,
1922/23,15,Sharkey,8,starter,,
1922/23,15,Ratcliffe,9,starter,,
1922/23,15,Hilton,10,starter,,
1922/23,15,Evans,11,starter,,
1922/23,16,Gill,1,starter,,
1922/23,16,Thompson,2,starter,,
1922/23,16,Stuart,3,starter,,
1922/23,16,Campbell,4,starter,,
1922/23,16,Sewell,5,starter,,
1922/23,16,Hawarden,6,starter,,
1922/23,16,Moreton,7,starter,,
1922/23,16,Sharkey,8,starter,,
1922/23,16,Beswick,9,starter,,
1922/23,16,Hilton,10,starter,,
1922/23,16,Evans,11,starter,,
1922/23,17,Gill,1,starter,,
1922/23,17,Thompson,2,starter,,
1922/23,17,Stuart,3,starter,,
1922/23,17,Campbell,4,starter,,
1922/23,17,Sewell,5,starter,,
1922/23,17,Hawarden,6,starter,,
1922/23,17,Moreton,7,starter,,
1922/23,17,Sharkey,8,starter,,
1922/23,17,Beswick,9,starter,,
1922/23,17,Hilton,10,starter,,
1922/23,17,Evans,11,starter,,
1922/23,18,Gill,1,starter,,
1922/23,18,Thompson,2,starter,,
1922/23,18,Stuart,3,starter,,
1922/23,18,Campbell,4,starter,,
1922/23,18,Sewell,5,starter,,
1922/23,18,Hawarden,6,starter,,
1922/23,18,Moreton,7,starter,,
1922/23,18,Sharkey,8,starter,,
1922/23,18,Beswick,9,starter,,
1922/23,18,Hayes F,10,starter,,
1922/23,18,Evans,11,starter,,
1922/23,19,Gill,1,starter,,
1922/23,19,Thompson,2,starter,,
1922/23,19,Stuart,3,starter,,
1922/23,19,Campbell,4,starter,,
1922/23,19,Sewell,5,starter,,
1922/23,19,Hawarden,6,starter,,
1922/23,19,Moreton,7,starter,,
1922/23,19,Sharkey,8,starter,,
1922/23,19,Beswick,9,starter,,
1922/23,19,Hayes F,10,starter,,
1922/23,19,Evans,11,starter,,
1922/23,20,Gill,1,starter,,
1922/23,20,Thompson,2,starter,,
1922/23,20,Stuart,3,starter,,
1922/23,20,Campbell,4,starter,,
1922/23,20,Sewell,5,starter,,
1922/23,20,Hawarden,6,starter,,
1922/23,20,Moreton,7,starter,,
1922/23,20,Sharkey,8,starter,,
1922/23,20,Beswick,9,starter,,
1922/23,20,Hayes F,10,starter,,
1922/23,20,Evans,11,starter,,
1922/23,21,Gill,1,starter,,
1922/23,21,Thompson,2,starter,,
1922/23,21,Stuart,3,starter,,
1922/23,21,Campbell,4,starter,,
1922/23,21,Sewell,5,starter,,
1922/23,21,Hawarden,6,starter,,
1922/23,21,Moreton,7,starter,,
1922/23,21,Sharkey,8,starter,,
1922/23,21,Beswick,9,starter,,
1922/23,21,Hilton,10,starter,,
1922/23,21,Evans,11,starter,,
1922/23,22,Gill,1,starter,,
1922/23,22,Thompson,2,starter,,
1922/23,22,Stuart,3,starter,,
1922/23,22,Campbell,4,starter,,
1922/23,22,Sewell,5,starter,,
1922/23,22,Phillips,6,starter,,
1922/23,22,Moreton,7,starter,,
1922/23,22,Sharkey,8,starter,,
1922/23,22,Beswick,9,starter,,
1922/23,22,Hilton,10,starter,,
1922/23,22,Robinson J,11,starter,,
1922/23,23,Gill,1,starter,,
1922/23,23,Thompson,2,starter,,
1922/23,23,Stuart,3,starter,,
1922/23,23,Campbell,4,starter,,
1922/23,23,Sewell,5,starter,,
1922/23,23,Phillips,6,starter,,
1922/23,23,Moreton,7,starter,,
1922/23,23,Beswick,8,starter,,
1922/23,23,Crowther,9,starter,,
1922/23,23,Hilton,10,starter,,
1922/23,23,Evans,11,starter,,
1922/23,24,Gill,1,starter,,
1922/23,24,Thompson,2,starter,,
1922/23,24,Stuart,3,starter,,
1922/23,24,Campbell,4,starter,,
1922/23,24,Sewell,5,starter,,
1922/23,24,Phillips,6,starter,,
1922/23,24,Moreton,7,starter,,
1922/23,24,Beswick,8,starter,,
1922/23,24,Crowther,9,starter,,
1922/23,24,Hilton,10,starter,,
1922/23,24,Evans,11,starter,,
1922/23,25,Gill,1,starter,,
1922/23,25,Thompson,2,starter,,
1922/23,25,Stuart,3,starter,,
1922/23,25,Campbell,4,starter,,
1922/23,25,Sewell,5,starter,,
1922/23,25,Phillips,6,starter,,
1922/23,25,Moreton,7,starter,,
1922/23,25,Beswick,8,starter,,
1922/23,25,Crowther,9,starter,,
1922/23,25,Hilton,10,starter,,
1922/23,25,Evans,11,starter,,
1922/23,26,Gill,1,starter,,
1922/23,26,Hayes C,2,starter,,
1922/23,26,Stuart,3,starter,,
1922/23,26,Campbell,4,starter,,
1922/23,26,Sewell,5,starter,,
1922/23,26,Phillips,6,starter,,
1922/23,26,Moreton,7,starter,,
1922/23,26,Beswick,8,starter,,
1922/23,26,Crowther,9,starter,,
1922/23,26,Hilton,10,starter,,
1922/23,26,Evans,11,starter,,
1922/23,27,Gill,1,starter,,
