season,player_name,squad_no
2014/15,Mitch Duggan,27
2014/15,Ben Davies,28
2014/15,Harrison McGahey,28
2014/15,Shamir Fenelon,28
2014/15,George Barker,29
2014/15,Rory Donnelly,29
2014/15,Will Aimson,29
2014/15,Armand Gnanduillet,30
2014/15,Ben Jago,30
2014/15,Calaum Jahraldo-Martin,30
2014/15,Danny Johnson,31
2014/15,Jennison Myrie-Williams,31
2014/15,Josh Thompson,32
2014/15,Guy Madjo,33
2014/15,Iain Hume,34
2014/15,Tolani Omotola,37
2015/16,Scott Davies,1
2015/16,Ritchie Sutton,2
2015/16,Liam Ridehalgh,3
2015/16,Steven Jennings,4
2015/16,Liam Hogan,5
2015/16,Marcus Holness,6
2015/16,Lee Vaughan,7
2015/16,Marlon Jackson,7
2015/16,Jay Harris,8
2015/16,Gary Taylor-Fletcher,9
2015/16,Nathan Blissett,9
2015/16,James Norwood,10
2015/16,Lois Maynard,11
2015/16,Michael Ihiekwe,12
2015/16,Iain Turner,13
2015/16,Andy Mangan,14
2015/16,Jack Mackreth,14
2015/16,Martin Riley,15
2015/16,Matt Hill,16
2015/16,Adam Mekki,17
2015/16,Cole Stockton,18
2015/16,Johnny Margetts,19
2015/16,Adam Dawson,20
2015/16,Jeff Hughes,20
2015/16,Jake Kirby,23
2015/16,Steve McNulty,24
2015/16,Ben Tomlinson,29
2015/16,Michael Higdon,29
2015/16,Scott Fenwick,37
2016/17,Scott Davies,1
2016/17,Lee Vaughan,2
2016/17,Liam Ridehalgh,3
2016/17,Steven Jennings,4
2016/17,Steve McNulty,5
2016/17,Michael Ihiekwe,6
2016/17,Adam Mekki,7
2016/17,Jay Harris,8
2016/17,Andy Cook,9
2016/17,James Norwood,10
2016/17,Connor Jennings,11
2016/17,Ritchie Sutton,12
2016/17,Darren Stephenson,14
2016/17,Louis Almond,15
2016/17,Elliot Osborne,16
2016/17,Jack Dunn,16
2016/17,Jake Kirby,17
2016/17,Ben Tollitt,18
2016/17,Andy Mangan,19
2016/17,Lois Maynard,20
2016/17,Adam Dawson,21
2016/17,Adam Buxton,22
2016/17,Ethan Jones,22
2016/17,Cole Stockton,23
2016/17,Jeff Hughes,24
2016/17,Mitch Duggan,25
2016/17,Luke Pilling,26
2016/17,Evan Gumbs,28
2016/17,Sam Ilesanmi,30
2016/17,Eddie Clarke,31
2016/17,Callum Lucy,33
2016/17,Erico Sousa,34
2016/17,Declan Drysdale,35
2016/17,Josh Solomon-Davies,37
2016/17,James Wallace,38
2016/17,Aaron Collins,39
2017/18,Scott Davies,1
2017/18,Adam Buxton,2
2017/18,Liam Ridehalgh,3
2017/18,Ritchie Sutton,4
2017/18,Steve McNulty,5
2017/18,James McEveley,6
2017/18,Ben Tollitt,7
2017/18,Jay Harris,8
2017/18,Andy Cook,9
2017/18,James Norwood,10
2017/18,Connor Jennings,11
2017/18,James Alabi,12
2017/18,George Waring,14
2017/18,Oliver Norburn,15
2017/18,Jack Dunn,16
2017/18,Jake Kirby,17
2017/18,Dylan Mottley-Henry,18
2017/18,Josh Ginnelly,18
2017/18,Andy Mangan,19
2017/18,Mitch Duggan,20
2017/18,Gerry McDonagh,22
2017/18,Rhys Taylor,22
2017/18,Elliot Rokka,23
2017/18,Jeff Hughes,24
2017/18,Luke Pilling,25
2017/18,Declan Drysdale,26
2017/18,Josh Solomon-Davies,27
2017/18,Evan Gumbs,28
2017/18,Larnell Cole,29
2017/18,Devarn Green,30
2017/18,Eddie Clarke,31
2017/18,Ollie Banks,32
2017/18,Emmanuel Monthe,33
2017/18,Josh Kay,33
2017/18,Drissa Traoré,34
2017/18,Carl Spellman,36
2017/18,Danny Walker-Rice,37
2017/18,James Wallace,38
2018/19,Scott Davies,1
2018/19,Adam Buxton,2
2018/19,Liam Ridehalgh,3
2018/19,Ritchie Sutton,4
2018/19,Sid Nelson,4
2018/19,Steve McNulty,5
2018/19,Emmanuel Monthe,6
2018/19,Ben Tollitt,7
2018/19,Jay Harris,8
2018/19,Paul Mullin,9
2018/19,James Norwood,10
2018/19,Connor Jennings,11
2018/19,Luke McCullough,12
2018/19,Jake Caprice,14
2018/19,Ishmael Miller,15
2018/19,Mark Ellis,16
2018/19,David Perkins,17
2018/19,Dylan Mottley-Henry,17
2018/19,Jonny Smith,18
2018/19,Franklyn Akammadu,19
2018/19,Kieron Morris,19
2018/19,Cole Stockton,20
2018/19,Evan Gumbs,21
2018/19,Harvey Gilmour,22
2018/19,Shamal George,23
2018/19,Zoumana Bakayogo,24
2018/19,Ben Pringle,27
2018/19,Ryan Williams,27
2018/19,Ollie Banks,28
2018/19,Chris Dagnall,29
2018/19,Larnell Cole,29
2018/19,Paddy Wharton,40
2019/20,Scott Davies,1
2019/20,Calum Woods,2
2019/20,Liam Ridehalgh,3
2019/20,Sid Nelson,4
2019/20,George Ray,5
2019/20,Emmanuel Monthe,6
2019/20,Kieron Morris,7
2019/20,Darren Potter,8
2019/20,Paul Mullin,9
2019/20,Morgan Ferrier,10
2019/20,Connor Jennings,11
2019/20,Luke McCullough,12
2019/20,Jake Caprice,14
2019/20,Mark Ellis,16
2019/20,David Perkins,17
2019/20,Rushian Hepburn-Murphy,18
2019/20,James Vaughan,19
2019/20,Jordan Ponticelli,19
2019/20,Harvey Gilmour,20
2019/20,Kane Wilson,22
2019/20,Corey Blackett-Taylor,23
2019/20,Jacob Maddox,24
2019/20,Peter Clarke,24
2019/20,Luke Pilling,25
2019/20,Carl Spellman,26
2019/20,Ollie Banks,28
2019/20,Danny Walker-Rice,29
2019/20,Aaron Chapman,31
2019/20,Morgan Feeney,31
2019/20,George Nugent,32
2019/20,Andy Cook,33
2019/20,Cameron Borthwick-Jackson,33
2019/20,Kyle Hayde,34
2019/20,Neil Danns,35
2019/20,Alex Woodyard,36
2019/20,Joe Blackham,37
2019/20,Lewis Sinnott,40
2019/20,Jake Burton,41
2019/20,Stefan Payne,45
2020/21,Scott Davies,1
2020/21,Lee O'Connor,2
2020/21,Liam Ridehalgh,3
2020/21,Sid Nelson,4
2020/21,Mark Ellis,5
2020/21,Emmanuel Monthe,6
2020/21,Kieron Morris,7
2020/21,Jay Spearing,8
2020/21,James Vaughan,9
2020/21,Morgan Ferrier,10
2020/21,Corey Blackett-Taylor,11
2020/21,Charlie Jolley,12
2020/21,Joe Murphy,13
2020/21,Kaiyne Woolery,14
2020/21,Ali Crawford,15
2020/21,Jack Young,15
2020/21,Nya Kirby,16
2020/21,Otis Khan,17
2020/21,Calum MacDonald,18
2020/21,Liam Feeney,19
2020/21,Danny Walker-Rice,20
2020/21,George Ray,21
2020/21,Paul Lewis,22
2020/21,Stefan Payne,23
2020/21,Kyle Hayde,24
2020/21,George Nugent,25
2020/21,Peter Clarke,26
2020/21,Jake Burton,27
2020/21,David Nugent,28
2020/21,Ollie Banks,28
2020/21,Sam Smith,29
2020/21,Danny Lloyd,35
2021/22,Josh Dacres-Cogley,2
2021/22,Calum MacDonald,3
2021/22,Nat Knight-Percival,4
2021/22,Tom Davies,5
2021/22,Chris Merrie,6
2021/22,Kieron Morris,7
2021/22,Jay Spearing,8
2021/22,Emmanuel Dieseruvwe,9
2021/22,Kane Hemmings,10
2021/22,Ryan Watson,10
2021/22,Liam Feeney,11
2021/22,Charlie Jolley,12
2021/22,Joe Murphy,13
2021/22,Callum McManaman,14
2021/22,Josh Hawkes,15
2021/22,Paul Glatzel,16
2021/22,Sam Foley,17
2021/22,Nicky Maynard,18
2021/22,Lewis Warrington,19
2021/22,Stephen Walker,19
2021/22,Elliott Nevitt,20
2021/22,Josh McPake,21
2021/22,Mark Duffy,21
2021/22,Lee O'Connor,22
2021/22,Joe Maguire,23
2021/22,Kyle Hayde,24
2021/22,Ross Doohan,25
2021/22,Peter Clarke,26
2021/22,Jake Burton,27
2021/22,Ryan Stratulis,28
2022/23,Ross Doohan,1
2022/23,Josh Dacres-Cogley,2
2022/23,Ethan Bristow,3
2022/23,Lee O'Connor,4
2022/23,Tom Davies,5
2022/23,Chris Merrie,6
2022/23,Kieron Morris,7
2022/23,Reece McAlear,8
2022/23,Paul Glatzel,9
2022/23,Kane Hemmings,10
2022/23,Josh Hawkes,11
2022/23,Joe Murphy,13
2022/23,Jordan Turnbull,14
2022/23,Ben Hockenhull,15
2022/23,Jon Nolan,16
2022/23,Rhys Hughes,17
2022/23,Kyle Jameson,18
2022/23,Logan Chalmers,19
2022/23,Neill Byrne,19
2022/23,Brad Walker,20
2022/23,Elliott Nevitt,20
2022/23,Luke Robinson,21
2022/23,Paul Lewis,22
2022/23,Mateusz Hewelt,23
2022/23,Regan Hendry,24
2022/23,Joel Mumbongo,25
2022/23,Dynel Simeu,26
2022/23,Harvey Saunders,26
2022/23,Jake Burton,27
2022/23,Arthur Lomax,30
2022/23,Sam Taylor,32
2022/23,Jay Turner-Cook,33
2022/23,Florent Hoti,34
