surname,forename,date_of_birth,dob,dob_qtr,dob_yr,dob_yr_is_est,page,period
Barrie,John,17-May-25,1925-05-17,2,1925,0,101,1
Barton,Teddy,NA,NA,1,1904,0,101,1
Bauress,Gary,19-Jan-71,1971-01-19,1,1971,0,101,1
Bavin,John,25-May-21,1921-05-25,2,1921,0,101,1
Beamish, Kenny,25-Aug-47,1947-08-25,3,1947,0,101,1
Beamish, Kenny,25-Au9-47,1947-09-25,3,1947,0,101,2
Bedford,Fred,25-Jun-02,1902-06-25,2,1902,0,101,1
Bell,Bunny,10-Apr-11,1911-04-10,2,1911,0,101,1
Bell,Graham,30-Mar-55,1955-03-30,1,1955,0,101,1
Bell,Harold,22-Nov-24,1924-11-22,4,1924,0,101,1
Bennett,Gary,20-Sep-62,1962-09-20,3,1962,0,101,1
Best,John,11-Jul-40,1940-07-11,3,1940,0,101,1
Beswick,Sammy,08-Mar-03,1903-03-08,1,1903,0,101,1
Bevan,Harry,23-Feb-06,1906-02-23,1,1906,0,101,1
Billington,Stan,23-Feb-37,1937-02-23,1,1937,0,101,1
Birmingham,Charles,24-Aug-22,1922-08-24,3,1922,0,101,1
Birtles,Danny,24-Feb-04,1904-02-24,1,1904,0,101,1
Bishop,Eddie,28-Nov-62,1962-11-28,4,1962,0,101,1
Blundell,Alan,18-Aug-47,1947-08-18,3,1947,0,101,1
Bonetti,Ivano,01-Aug-64,1964-08-01,3,1964,0,101,1
Bowen,William,16-Mar-09,1909-03-16,1,1909,0,101,1
Bracewell,Ken,05-Oct-36,1936-10-05,4,1936,0,101,1
Bradshaw,George,12-Mar-04,1904-03-12,1,1904,0,101,1
Bradshaw,Harry,22-Jan-95,1895-01-22,1,1895,0,101,1
Bramhall,John,20-Nov-56,1956-11-20,4,1956,0,101,1
Branch,Graham,12-Feb-72,1972-02-12,1,1972,0,101,1
Brannan,Ged,15-Jan-72,1972-01-15,1,1972,0,101,1
Brennan,Mike,06-May-41,1941-05-06,2,1941,0,101,1
Bridges,Harold,30-Jun-15,1915-06-30,2,1915,0,101,1
Briggs,Arthur,27-May-00,1900-05-27,2,1900,0,101,1
Brodie,Eric,08-Nov-40,1940-11-08,4,1940,0,101,1
Brown,Andy,17-Aug-63,1963-08-17,3,1963,0,101,1
Brown,Dave,21-Oct-63,1963-10-21,4,1963,0,101,1
Brown,Jack,NA,NA,NA,NA,0,101,1
Brown,Jock,02-Apr-35,1935-04-02,2,1935,0,101,1
Brown, Owen,04-Sep-60,1960-09-04,3,1960,0,101,1
Brown, Owen,04-Sep-60,1960-09-04,3,1960,0,101,2
Brown,Samuel,01-May-08,1908-05-01,2,1908,0,101,1
Buchan,Tom,NA,NA,3,1889,0,101,1
Buckley,Ted,13-Sep-12,1912-09-13,3,1912,0,101,1
Bullock,Steve,05-Oct-66,1966-10-05,4,1966,0,101,1
Bullough,Denis,29-Nov-95,1895-11-29,4,1895,0,101,1
Burgess,David,20-Jan-60,1960-01-20,1,1960,0,101,1
Burgin,Meynell,29-Nov-11,1911-11-29,4,1911,0,101,1
Burke,Marshall,26-Mar-59,1959-03-26,1,1959,0,101,1
Burns,Kinear,24-Sep-23,1923-09-24,3,1923,0,101,1
Burrows,Wilf,NA,NA,1,1902,0,101,1
Butler,Charles,20-Mar-08,1908-03-20,1,1908,0,101,1
Byrne,John,25-May-39,1939-05-25,2,1939,0,101,1
Byrne,John,24-Mar-49,1949-03-24,1,1949,0,101,1
Byrom,Tom,17-Mar-20,1920-03-17,1,1920,0,101,1
Cahill,Paul,29-Sep-55,1955-09-29,3,1955,0,101,1
Camden,Chris,28-May-63,1963-05-28,2,1963,0,101,1
Campbell,Johnny,14-Oct-94,1894-10-14,4,1894,0,101,1
Campbell,Les,26-Jul-35,1935-07-26,3,1935,0,101,1
Campbell,Tommy,20-Feb-35,1935-02-20,1,1935,0,101,1
Carlson,George,27-Jul-25,1925-07-27,3,1925,0,101,1
Carmody,Mike,09-Feb-66,1966-02-09,1,1966,0,101,1
Carter,Joseph,27-Jul-99,1899-07-27,3,1899,0,102,1
Gartman,Bert,28-Feb-00,1900-02-28,1,1900,0,102,1
Cartwright,William,11-Jun-22,1922-06-11,2,1922,0,102,1
Carvell,Arthur,26-May-11,1911-05-26,2,1911,0,102,1
Casey,Gerry,25-Aug-41,1941-08-25,3,1941,0,102,1
Cassidy,James,NA,NA,NA,NA,0,102,1
Chadwick,Harold,25-Jan-19,1919-01-25,1,1919,0,102,1
Challinor,Dave,02-Oct-75,1975-10-02,4,1975,0,102,1
Chalmers,Billy,03-Apr-01,1901-04-03,2,1901,0,102,1
Chamberlain,Alec,20-Jun-64,1964-06-20,2,1964,0,102,1
Charlton,Billy,10-Oct-00,1900-10-10,4,1900,0,102,1
Charlton,Wilf,12-Sep-33,1933-09-12,3,1933,0,102,1
Checkland,Frank,31-Jul-95,1895-07-31,3,1895,0,102,1
Chiverton,Ted,NA,NA,1,1913,0,102,1
Clark,Archie,04-Apr-02,1902-04-04,2,1902,0,102,1
Clarke,Colin,30-Oct-62,1962-10-30,4,1962,0,102,1
Clayton,Gordon,03-Nov-36,1936-11-03,4,1936,0,102,1
Clayton,John,20-Aug-61,1961-08-20,3,1961,0,102,1
Cliff,Eddie,30-Sep-51,1951-09-30,3,1951,0,102,1
Clinton,Tommy,13-Apr-26,1926-04-13,2,1926,0,102,1
Coleman,Tony,02-May-45,1945-05-02,2,1945,0,102,1
Collings,Paul,30-Sep-68,1968-09-30,3,1968,0,102,1
Conner,Dick,13-Aug-31,1931-08-13,3,1931,0,102,1
Connor,Bill,NA,NA,NA,NA,0,102,1
Connor,John,01-Feb-14,1914-02-01,1,1914,0,102,1
Conroy,Bobby,20-Jun-29,1929-06-20,2,1929,0,102,1
Cook,Fred,NA,NA,NA,NA,0,102,1
Cook,George,NA,NA,NA,1909,1,102,1
Cook,Paul,22-Feb-67,1967-02-22,1,1967,0,102,1
Cook, Paul,22-Feb-67,1967-02-22,1,1967,0,102,2
Cooper,Steve,22-Jun-64,1964-06-22,2,1964,0,102,1
Coppell,Steve,09-Jul-55,1955-07-09,3,1955,0,102,1
Cox,Alan,04-Sep-20,1920-09-04,3,1920,0,102,1
Coyne,Danny,27-Aug-73,1973-08-27,3,1973,0,102,1
Coyne,John,18-Jul-51,1951-07-18,3,1951,0,102,1
Coyne,Tommy,14-Nov-62,1962-11-14,4,1962,0,102,1
Craven, Steve,17-Sep-57,1957-09-17,3,1957,0,102,1
Craven, Steve,17-Sep-57,1957-09-17,3,1957,0,102,2
Crawford,Bruce,10-Oct-38,1938-10-10,4,1938,0,102,1
Crewe,Billy,26-Nov-01,1901-11-26,4,1901,0,102,1
Crompton,Arthur,09-Jan-03,1903-01-09,1,1903,0,102,1
Cropper,Reg,21-Jan-02,1902-01-21,1,1902,0,102,1
Crossan,Eddie,17-Nov-25,1925-11-17,4,1925,0,102,1
Crossley,Paul,14-Jul-48,1948-07-14,3,1948,0,102,1
Crowther,George,NA,NA,2,1892,0,102,1
Crutchley,Vic,NA,NA,3,1910,0,102,1
Cumbes,Jim,04-May-44,1944-05-04,2,1944,0,102,1
Cunningham,Charlie,NA,NA,NA,NA,0,102,1
Curnow,Jack,31-Jan-10,1910-01-31,1,1910,0,102,1
Curran,Frank,31-May-17,1917-05-31,2,1917,0,102,1
Curtis,Charlie,NA,NA,NA,NA,0,102,1
D'arcy,Frank,08-Dec-46,1946-12-08,4,1946,0,102,1
Dale,Dickie,21-May-96,1896-05-21,2,1896,0,102,1
Dalton,Tim,14-Oct-65,1965-10-14,4,1965,0,102,1
Davies,Dai,01-Apr-48,1948-04-01,2,1948,0,102,1
Davies,Ernie,NA,NA,NA,NA,0,102,1
Davies,Keith,19-Feb-34,1934-02-19,1,1934,0,102,1
Davies,Ray,03-Oct-31,1931-10-03,4,1931,0,102,1
Davis,Samuel,25-May-00,1900-05-25,2,1900,0,102,1
Davis,Thomas,NA,NA,NA,1911,1,102,1
Dawson,Frank,17-Oct-08,1908-10-17,4,1908,0,102,1
Day,Alf,02-Oct-07,1907-10-02,4,1907,0,102,1
Dean,Dixie,22-Jan-07,1907-01-22,1,1907,0,102,1
Dellow,Ronnie,13-Jul-14,1914-07-13,3,1914,0,102,1
Demaine,Dave,07-May-42,1942-05-07,2,1942,0,102,1
Dempsey,John,02-Apr-51,1951-04-02,2,1951,0,102,1
Dillon,Vince,02-Oct-23,1923-10-02,4,1923,0,102,1
Dixon,Ernie,10-Jul-01,1901-07-10,3,1901,0,102,1
Docking,Stan,13-Dec-14,1914-12-13,4,1914,0,102,1
Dodd,Ernie,01-May-14,1914-05-01,2,1914,0,102,1
Dodd,Jim,12-Dec-33,1933-12-12,4,1933,0,102,1
Done,Cyril,21-Oct-20,1920-10-21,4,1920,0,102,1
Doonan,Tom,05-Oct-22,1922-10-05,4,1922,0,102,1
Duff,Stanley,NA,NA,1,1919,0,102,1
Duffy,Alan,20-Dec-49,1949-12-20,4,1949,0,102,1
Dyson,Barry,06-Sep-42,1942-09-06,3,1942,0,102,1
Eastham,Harry,30-Jun-17,1917-06-30,2,1917,0,102,1
Eaton,Steve,25-Dec-59,1959-12-25,4,1959,0,102,1
Eden,Billy,01-Jul-05,1905-07-01,3,1905,0,102,1
Edwards,Elfyn,04-May-60,1960-05-04,2,1960,0,102,1
Edwards,Malcolm,25-Oct-39,1939-10-25,4,1939,0,102,1
Edwards,Mike,10-Sep-74,1974-09-10,3,1974,0,102,1
Edwards,Steve,11-Jan-58,1958-01-11,1,1958,0,102,1
Edwards,William,NA,NA,NA,NA,0,102,1
Eglington,Tommy,15-Jan-23,1923-01-15,1,1923,0,102,1
Ellison,Norman,02-Nov-29,1929-11-02,4,1929,0,102,1
Endersby,Scott,20-Feb-62,1962-02-20,1,1962,0,102,1
Evans,Bernard,04-Jan-37,1937-01-04,1,1937,0,102,1
Evans,Clive,01-May-57,1957-05-01,2,1957,0,103,1
Evans,Dennis,23-Jul-35,1935-07-23,3,1935,0,103,1
Evans,Herbie,30-Aug-94,1894-08-30,3,1894,0,103,1
Evans,Jabez,29-Apr-95,1895-04-29,2,1895,0,103,1
Fagan,Kit,05-Jun-50,1950-06-05,2,1950,0,103,1
Fairclough,David,05-Jan-57,1957-01-05,1,1957,0,103,1
Fairclough,Peter,NA,NA,NA,NA,0,103,1
Fairhurst,Dick,05-Sep-11,1911-09-05,3,1911,0,103,1
Farnworth,Simon,28-Oct-63,1963-10-28,4,1963,0,103,1
Farrell,Peter,16-Aug-22,1922-08-16,3,1922,0,103,1
Farrimond,Syd,17-Jul-40,1940-07-17,3,1940,0,103,1
Ferguson,Mark,06-Nov-60,1960-11-06,4,1960,0,103,1
Finlay,Pat,18-Mar-38,1938-03-18,1,1938,0,103,1
Finney,Ken,10-Mar-29,1929-03-10,1,1929,0,103,1
Fishwick,Bert,NA,NA,1,1899,0,103,1
Flanagan,Jack,NA,NA,1,1902,0,103,1
Fleming,Mike,23-Feb-28,1928-02-23,1,1928,0,103,1
Flood,Eddie,19-Nov-52,1952-11-19,4,1952,0,103,1
Flowers,George,07-May-07,1907-05-07,2,1907,0,103,1
Fogg,Billy,09-Mar-03,1903-03-09,1,1903,0,103,1
Ford,John,NA,NA,NA,NA,0,103,1
Forshaw,Allen,NA,NA,NA,NA,0,103,1
Forshaw,Arthur,NA,NA,3,1913,0,103,1
Foster,William,NA,NA,NA,NA,0,103,1
Fraser,Nathan,16-Apr-13,1913-04-16,2,1913,0,103,1
Frith,David,17-Mar-29,1929-03-17,1,1929,0,103,1
Frost,Winston,NA,NA,2,1911,0,103,1
Frye,John,27-Jul-33,1933-07-27,3,1933,0,103,1
Fulton,David,16-Oct-95,1895-10-16,4,1895,0,103,1
Garnett,Shaun,22-Nov-69,1969-11-22,4,1969,0,103,1
Gaskell,Alec,30-Jul-32,1932-07-30,3,1932,0,103,1
Gibson,William,17-Sep-26,1926-09-17,3,1926,0,103,1
Gill,Francis,NA,NA,1,1897,0,103,1
Gill,Frank,05-Dec-48,1948-12-05,4,1948,0,103,1
Glasper,William,NA,NA,4,1910,0,103,1
Glennon,Chris,29-Oct-49,1949-10-29,4,1949,0,103,1
Godwin,Verdi,11-Feb-26,1926-02-11,1,1926,0,103,1
Good,John,29-Jan-33,1933-01-29,1,1933,0,103,1
Goodlass,Ronnie,06-Sep-53,1953-09-06,3,1953,0,103,1
Gorton,Andy,23-Sep-66,1966-09-23,3,1966,0,103,1
Gould,Harry,05-Jan-25,1925-01-05,1,1925,0,103,1
Graham,Bobby,22-Nov-44,1944-11-22,4,1944,0,103,1
Grainger,John,NA,NA,NA,1896,1,103,1
Gray,Albert,23-Sep-00,1900-09-23,3,1900,0,103,1
Gray,Matthew,18-Apr-07,1907-04-18,2,1907,0,103,1
Gray,Robert,07-Oct-03,1903-10-07,4,1903,0,103,1
Green,Johnny,22-May-39,1939-05-22,2,1939,0,103,1
Greenwood,Roy,26-Sep-52,1952-09-26,3,1952,0,103,1
Grierson,Darrell,30-Oct-68,1968-10-30,4,1968,0,103,1
Griffiths,Clive,22-Jan-55,1955-01-22,1,1955,0,103,1
Griffiths,David,25-May-51,1951-05-25,2,1951,0,103,1
Griffiths,Ian,17-Apr-60,1960-04-17,2,1960,0,103,1
Griffiths,James,NA,NA,NA,1918,1,103,1
Griffiths,Joe,NA,NA,NA,1892,1,103,1
Groves,Fred,06-May-92,1892-05-06,2,1892,0,103,1
Gubbins,Ralph,31-Jan-32,1932-01-31,1,1932,0,103,1
Gwatkin,Phil,05-Aug-29,1929-08-05,3,1929,0,103,1
Hagan,Alf,11-Nov-93,1893-11-11,4,1893,0,103,1
Hall,Tony,17-Jan-69,1969-01-17,1,1969,0,103,1
Halstead,Fred,NA,NA,4,1896,0,103,1
Hamilton,Bryan,21-Dec-46,1946-12-21,4,1946,0,103,1
Hamilton,Duke,27-Mar-06,1906-03-27,1,1906,0,103,1
Harlock,Des,20-Dec-22,1922-12-20,4,1922,0,103,1
Harris,Albert,21-Nov-31,1931-11-21,4,1931,0,103,1
Harris,Jimmy,18-Aug-33,1933-08-18,3,1933,0,103,1
Harrop,Bobby,25-Aug-36,1936-08-25,3,1936,0,103,1
Harvey,Jimmy,02-May-58,1958-05-02,2,1958,0,103,1
Hawarden,Andrew,30-Jun-95,1895-06-30,2,1895,0,103,1
Hay,Alan,28-Nov-58,1958-11-28,4,1958,0,103,1
Hayes,Charlie,07-Dec-93,1893-12-07,4,1893,0,103,1
Hayes,Fred,NA,NA,NA,NA,0,103,1
Hayes,John,NA,NA,NA,NA,0,103,1
Heap,Stuart,07-Feb-65,1965-02-07,1,1965,0,103,1
Heath,John,05-Jun-36,1936-06-05,2,1936,0,103,1
Heath,Seamus,06-Dec-61,1961-12-06,4,1961,0,103,1
Henshaw,Ernie,28-Nov-10,1910-11-28,4,1910,0,103,1
Heslop,Tom,NA,NA,NA,NA,0,103,1
Heydon,Jackie,19-Oct-28,1928-10-19,4,1928,0,103,1
Heywood,Bert,NA,NA,3,1913,0,103,1
Hickson,Dave,30-Oct-29,1929-10-30,4,1929,0,103,1
Higgins, Dave,19-Aug-61,1961-08-19,3,1961,0,103,1
Higgins, Dave,19-Aug-61,1961-08-19,3,1961,0,103,2
Hilditch,Mark,20-Aug-60,1960-08-20,3,1960,0,103,1
Hill,Alan,01-Jul-33,1933-07-01,3,1933,0,103,1
Hill,Mandy,15-Feb-40,1940-02-15,1,1940,0,103,1
Hill,Reginald,NA,NA,NA,1907,1,103,1
Hilton,Harold,13-Nov-89,1889-11-13,4,1889,0,103,1
Hinch,Jimmy,08-Nov-47,1947-11-08,4,1947,0,103,1
Hodgson,Laurie,19-Jan-17,1917-01-19,1,1917,0,104,1
Holder,Alan,10-Dec-31,1931-12-10,4,1931,0,104,1
Hollifield,Mike,02-May-61,1961-05-02,2,1961,0,104,1
Hood,Jackie,08-Jan-38,1938-01-08,1,1938,0,104,1
Hopkinson,Samuel,09-Feb-02,1902-02-09,1,1902,0,104,1
Hornby,Eric,31-Mar-23,1923-03-31,1,1923,0,104,1
Horwood,Neil,04-Aug-64,1964-08-04,3,1964,0,104,1
Hudson,George,14-Mar-37,1937-03-14,1,1937,0,104,1
Hughes,David,27-Apr-43,1943-04-27,2,1943,0,104,1
Hughes,Mark,03-Feb-62,1962-02-03,1,1962,0,104,1
Hughes,Thomas,NA,NA,NA,NA,0,104,1
Hunt,Robert,NA,NA,NA,NA,0,104,1
Hutchinson, Bobby,19-Jun-53,1953-06-19,2,1953,0,104,1
Hutchinson, Bobby,19-Jun-53,1953-06-19,2,1953,0,104,2
Hyam,James,NA,NA,NA,NA,0,104,1
Iceton,Lloyd,30-Mar-20,1920-03-30,1,1920,0,104,1
Imlach,Mike,19-Sep-62,1962-09-19,3,1962,0,104,1
Irons,Kenny,04-Nov-70,1970-11-04,4,1970,0,104,1
Jack,Andrew,30-Jun-23,1923-06-30,2,1923,0,104,1
Jackson,Archie,25-Jan-01,1901-01-25,1,1901,0,104,1
Jackson,David,23-Jan-37,1937-01-23,1,1937,0,104,1
Jackson,George,17-Jun-93,1893-06-17,2,1893,0,104,1
Jackson,Jimmy,14-Apr-96,1896-04-14,2,1896,0,104,1
Jackson,Peter,23-Jan-37,1937-01-23,1,1937,0,104,1
Jackson,William,NA,NA,NA,NA,0,104,1
Jackson,Wiliam,08-Dec-24,1924-12-08,4,1924,0,104,1
James,John,24-Oct-48,1948-10-24,4,1948,0,104,1
Jeffes,Albert,01-Oct-97,1897-10-01,4,1897,0,104,1
Johnson,Brian,29-Oct-48,1948-10-29,4,1948,0,104,1
Johnson,David,17-Apr-51,1951-04-17,2,1951,0,104,1
Johnson,Dickie,20-Feb-53,1953-02-20,1,1953,0,104,1
Johnson,John,NA,NA,4,1906,0,104,1
Johnstone,Robert,13-Sep-18,1918-09-13,3,1918,0,104,1
Jolley,Charlie,03-Mar-36,1936-03-03,1,1936,0,104,1
Jones,Benny,23-Mar-20,1920-03-23,1,1920,0,104,1
Jones,Derek,24-Apr-29,1929-04-24,2,1929,0,104,1
Jones,Gary,10-May-75,1975-05-10,2,1975,0,104,1
Jones,Gwyn,NA,NA,1,1912,0,104,1
Jones,Lee,29-May-73,1973-05-29,2,1973,0,104,1
Jones,Les,09-Nov-40,1940-11-09,4,1940,0,104,1
Jones,Martin,27-Mar-75,1975-03-27,1,1975,0,104,1
Jones,Ossie,15-Ju1-09,1909-01-15,1,1909,0,104,1
Jones,Robert,NA,NA,NA,1911,1,104,1
Jones,Tommy,06-Dec-09,1909-12-06,4,1909,0,104,1
Joy,Brian,26-Feb-51,1951-02-26,1,1951,0,104,1
Kearney,Sidney,28-Mar-17,1917-03-28,1,1917,0,104,1
Kearns,Jack,NA,NA,NA,1915,1,104,1
Kelly,Charles,14-Jun-94,1894-06-14,2,1894,0,104,1
Kelly,John,20-Oct-60,1960-10-20,4,1960,0,104,1
Kelly,Noel,28-Dec-21,1921-12-28,4,1921,0,104,1
Kelly,Robert,21-Dec-64,1964-12-21,4,1964,0,104,1
Kennedy,Andy,01-Sep-95,1895-09-01,3,1895,0,104,1
Kennedy,David,14-Feb-49,1949-02-14,1,1949,0,104,1
Kennedy,Jack,NA,NA,NA,NA,0,104,1
Kenny,Billy,23-Oct-51,1951-10-23,4,1951,0,104,1
Kenworthy,Jon,18-Aug-74,1974-08-18,3,1974,0,104,1
Kerr,John,23-Nov-59,1959-11-23,4,1959,0,104,1
Kidd,Jackie,15-Jan-36,1936-01-15,1,1936,0,104,1
Kieran,Len,25-Jul-26,1926-07-25,3,1926,0,104,1
Kimberley,John,NA,NA,2,1899,0,104,1
King,Alan,18-Jan-45,1945-01-18,1,1945,0,104,1
King,Herbert,NA,NA,1,1911,0,104,1
King,Johnny,15-Apr-38,1938-04-15,2,1938,0,104,1
Kinsella,Pat,08-Nov-43,1943-11-08,4,1943,0,104,1
Kitching,Harry,NA,NA,3,1905,0,104,1
Knapp,Tony,13-Oct-36,1936-10-13,4,1936,0,104,1
Lamb,Harry,03-Jun-25,1925-06-03,2,1925,0,104,1
Lamont,Bill,25-Dec-26,1926-12-25,4,1926,0,104,1
Lancaster,Des,16-Jul-37,1937-07-16,3,1937,0,104,1
Lane,Frankie,20-Jul-48,1948-07-20,3,1948,0,104,1
Lawrence,Tommy,14-May-40,1940-05-14,2,1940,0,104,1
Le Cornu,Craig,17-Sep-60,1960-09-17,3,1960,0,104,1
Leary,Rex,NA,NA,4,1897,0,104,1
Lee,Andy,14-Sep-62,1962-09-14,3,1962,0,104,1
Leeming,Cliff,02-Feb-20,1920-02-02,1,1920,0,104,1
Leonard,Mark,27-Sep-62,1962-09-27,3,1962,0,104,1
Leslie,Alex,NA,NA,NA,1902,1,104,1
Lewins,George,16-Jul-06,1906-07-16,3,1906,0,104,1
Lewis,Cyril,10-Apr-09,1909-04-10,2,1909,0,104,1
Lewis,Ginger,NA,NA,1,1902,0,104,1
Lewis,Joseph,NA,NA,NA,NA,0,104,1
Lewis,Norman,13-Jun-08,1908-06-13,2,1908,0,104,1
Leyland,Harry,12-May-30,1930-05-12,2,1930,0,104,1
Littlehales,Harry,26-Aug-01,1901-08-26,3,1901,0,104,1
Livingstone,Duggie,25-Feb-98,1898-02-25,1,1898,0,104,1
Lloyd,Evan,NA,NA,NA,NA,0,104,1
Lloyd,Harold,12-Mar-20,1920-03-12,1,1920,0,104,1
Lomax,John,NA,NA,NA,NA,0,104,1
Lorenson,Roy,08-Apr-32,1932-04-08,2,1932,0,105,1
Lornie,Jack,02-Mar-39,1939-03-02,1,1939,0,105,1
Loyden,Eddie,22-Dec-45,1945-12-22,4,1945,0,105,1
Lumby,Jim,02-Oct-54,1954-10-02,4,1954,0,105,1
MacKay,William,NA,NA,NA,NA,0,105,1
Maddocks,Emlyn,06-Jul-17,1917-07-06,3,1917,0,105,1
Maher,Aiden,01-Dec-46,1946-12-01,4,1946,0,105,1
Maher,Cyril,NA,NA,2,1918,0,105,1
Mahon,Alan,04-Apr-78,1978-04-04,2,1978,0,105,1
Major,Bill,14-Jan-11,1911-01-14,1,1911,0,105,1
Malcolm,John,20-May-17,1917-05-20,2,1917,0,105,1
Malkin,Chris,04-Jun-67,1967-06-04,2,1967,0,105,1
Manning, John,11-Dec-40,1940-12-11,4,1940,0,105,1
Manning, John,11-Dec-40,1940-12-11,4,1940,0,105,2
Marquis,Fred,15-Jun-99,1899-06-15,2,1899,0,105,1
Martin,Barrie,29-Sep-35,1935-09-29,3,1935,0,105,1
Martindale,Dave,09-Apr-64,1964-04-09,2,1964,0,105,1
Mathias,Ray,13-Dec-46,1946-12-13,4,1946,0,105,1
Matthews,Vince,15-Jan-96,1896-01-15,1,1896,0,105,1
Mayson,John,24-Oct-08,1908-10-24,4,1908,0,105,1
Meacock,Bob,26-Jul-10,1910-07-26,3,1910,0,105,1
Mercer,Joe,21-Jul-90,1890-07-21,3,1890,0,105,1
Meston,Sammy,30-May-02,1902-05-30,2,1902,0,105,1
Miller,Alforth,27-Sep-14,1914-09-27,3,1914,0,105,1
Miller,Dave,08-Jan-64,1964-01-08,1,1964,0,105,1
Miller,William,19-Jul-10,1910-07-19,3,1910,0,105,1
Millington,Ralph,18-Jun-30,1930-06-18,2,1930,0,105,1
Milner,Jimmy,03-Feb-33,1933-02-03,1,1933,0,105,1
Milnes,Charles,NA,NA,2,1885,0,105,1
Mitchell,Barrie,15-Mar-47,1947-03-15,1,1947,0,105,1
Mitchell,Frank,25-May-90,1890-05-25,2,1890,0,105,1
Molyneux,Bernard,17-Sep-33,1933-09-17,3,1933,0,105,1
Molyneux,Fred,25-Jul-44,1944-07-25,3,1944,0,105,1
Mooney,Kevin,23-Aug-59,1959-08-23,3,1959,0,105,1
Moorcroft,Dave,16-Mar-47,1947-03-16,1,1947,0,105,1
Moore,Eric,16-Jul-26,1926-07-16,3,1926,0,105,1
Moore,Ian,26-Aug-76,1976-08-26,3,1976,0,105,1
Moore,Malcolm,18-Dec-48,1948-12-18,4,1948,0,105,1
Moore,Patrick,NA,NA,NA,1909,1,105,1
Moore, Ronnie,29-Jan-53,1953-01-29,1,1953,0,105,1
Moore, Ronnie,29-Jan-53,1953-01-29,1,1953,0,105,2
Moorhouse,George,04-Apr-01,1901-04-04,2,1901,0,105,1
Moreton,Jimmy,22-Sep-91,1891-09-22,3,1891,0,105,1
Morgan,Alan,02-Nov-73,1973-11-02,4,1973,0,105,1
Morley,Brian,04-Oct-60,1960-10-04,4,1960,0,105,1
Morrissey,Johnny,08-Mar-65,1965-03-08,1,1965,0,105,1
Mountfield,Derek,02-Nov-62,1962-11-02,4,1962,0,105,1
Muir,Ian,05-May-63,1963-05-05,2,1963,0,105,1
Mulkerrin,Jimmy,25-Dec-31,1931-12-25,4,1931,0,105,1
Mungall,Steve,22-May-58,1958-05-22,2,1958,0,105,1
Murphy,Bill,23-Mar-95,1895-03-23,1,1895,0,105,1
Murray,Eddie,10-Jul-62,1962-07-10,3,1962,0,105,1
Murray,Tommy,14-Jan-33,1933-01-14,1,1933,0,105,1
Mycock,Tom,22-Aug-23,1923-08-22,3,1923,0,105,1
MacDonald,John,01-Sep-21,1921-09-01,3,1921,0,105,1
MacDonald,Willie,NA,NA,NA,NA,0,105,1
MacNamee,John,31-Jul-42,1942-07-31,3,1942,0,105,1
McAuley, Hughie,08-Jan-53,1953-01-08,1,1953,0,105,1
McAuley, Hughie,08-Jan-53,1953-01-08,1,1953,0,105,2
McBennett,Seamus,16-Nov-25,1925-11-16,4,1925,0,105,1
McBurney,Mike,12-Sep-53,1953-09-12,3,1953,0,105,1
McCarrick,Mark,04-Feb-62,1962-02-04,1,1962,0,105,1
McDevitt,Kenny,04-Mar-29,1929-03-04,1,1929,0,105,1
